horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
1,8,2020-01,2020-07,HNB,80,11772,43.8,27.5,38.8,5.0,-11.2
1,8,2020-01,2020-07,LFIN,71,11772,38.0,39.4,35.2,2.8,4.2
1,8,2020-01,2020-07,LOFC,78,11772,33.3,44.9,34.6,-1.3,10.3
1,8,2020-01,2020-07,LOLC,82,11772,47.6,36.6,50.0,-2.4,-13.4
1,8,2020-01,2020-07,SAMP,82,11772,40.2,34.1,45.1,-4.9,-11.0
1,9,2020-07,2021-01,CFIN,122,12307,37.7,41.0,36.1,1.6,4.9
1,9,2020-07,2021-01,COMB,125,12307,30.4,34.4,44.0,-13.6,-9.6
1,9,2020-07,2021-01,HNB,125,12307,33.6,36.8,40.8,-7.2,-4.0
1,9,2020-07,2021-01,LFIN,125,12307,39.2,48.8,47.2,-8.0,1.6
1,9,2020-07,2021-01,LOFC,125,12307,36.0,34.4,42.4,-6.4,-8.0
1,9,2020-07,2021-01,LOLC,125,12307,28.8,30.4,42.4,-13.6,-12.0
1,9,2020-07,2021-01,SAMP,125,12307,40.8,45.6,44.8,-4.0,0.8
1,10,2021-01,2021-07,CFIN,113,13179,51.3,41.6,36.3,15.0,5.3
1,10,2021-01,2021-07,COMB,114,13179,38.6,36.0,34.2,4.4,1.8
1,10,2021-01,2021-07,HNB,114,13179,46.5,50.9,36.0,10.5,14.9
1,10,2021-01,2021-07,LFIN,110,13179,40.0,36.4,46.4,-6.4,-10.0
1,10,2021-01,2021-07,LOFC,114,13179,43.9,40.4,34.2,9.6,6.1
1,10,2021-01,2021-07,LOLC,114,13179,45.6,34.2,50.0,-4.4,-15.8
1,10,2021-01,2021-07,SAMP,111,13179,36.0,43.2,48.6,-12.6,-5.4
1,11,2021-07,2022-01,CFIN,124,13962,37.9,40.3,25.8,12.1,14.5
1,11,2021-07,2022-01,COMB,124,13962,31.5,36.3,37.9,-6.5,-1.6
1,11,2021-07,2022-01,HNB,124,13962,29.8,30.6,37.9,-8.1,-7.3
1,11,2021-07,2022-01,LFIN,124,13962,31.5,33.9,30.6,0.8,3.2
1,11,2021-07,2022-01,LOFC,124,13962,37.1,46.0,35.5,1.6,10.5
1,11,2021-07,2022-01,LOLC,124,13962,39.5,39.5,42.7,-3.2,-3.2
1,11,2021-07,2022-01,SAMP,124,13962,37.1,32.3,46.0,-8.9,-13.7
1,12,2022-01,2022-07,CFIN,95,14830,42.1,33.7,44.2,-2.1,-10.5
1,12,2022-01,2022-07,COMB,95,14830,33.7,34.7,31.6,2.1,3.2
1,12,2022-01,2022-07,HNB,95,14830,33.7,33.7,29.5,4.2,4.2
1,12,2022-01,2022-07,LFIN,95,14830,52.6,41.1,44.2,8.4,-3.2
1,12,2022-01,2022-07,LOFC,94,14830,46.8,39.4,48.9,-2.1,-9.6
1,12,2022-01,2022-07,LOLC,95,14830,47.4,46.3,57.9,-10.5,-11.6
1,12,2022-01,2022-07,SAMP,107,14830,50.5,34.6,34.6,15.9,0.0
1,13,2022-07,2023-01,CFIN,96,15506,37.5,39.6,30.2,7.3,9.4
