date,spsl20_points
2015-12-31,3605.0701
2016-01-01,3625.6899
2016-01-05,3598.8799
2016-01-06,3586.25
2016-01-07,3573.1799
2016-01-08,3546.45
2016-01-11,3514.4099
2016-01-12,3471.3201
2016-01-13,3393.04
2016-01-14,3404.51
2016-01-15,3344.28
2016-01-19,3284.3601
2016-01-20,3267.6799
2016-01-21,3251.3899
2016-01-22,3285.6899
2016-01-25,3320.99
2016-01-26,3303.9199
2016-01-27,3276.4299
2016-01-28,3275.4199
2016-01-29,3285.6201
2016-02-01,3310.27
2016-02-02,3322.49
2016-02-03,3365.6499
2016-02-04,3337.6201
2016-02-08,3351.6599
2016-02-09,3342.6499
2016-02-10,3338.5801
2016-02-11,3325.8501
2016-02-12,3287.02
2016-02-15,3264.9399
2016-02-16,3256.6799
2016-02-17,3256.3101
2016-02-18,3236.4299
2016-02-19,3240.79
2016-02-22,3265.1399
2016-02-24,3261.73
2016-02-25,3259.97
2016-02-26,3252.3301
2016-02-29,3247.6899
2016-03-01,3249.46
2016-03-02,3229.23
2016-03-03,3210.6001
2016-03-04,3206.1001
2016-03-07,3204.5
2016-03-09,3144.8501
2016-03-10,3092.9199
2016-03-11,3133.5601
2016-03-14,3180.9199
2016-03-15,3158.23
2016-03-16,3142.95
2016-03-17,3159.9199
2016-03-18,3174.05
2016-03-21,3167.46
2016-03-22,3180.8301
2016-03-24,3188.27
2016-03-25,3197.3
2016-03-29,3194.8401
2016-03-30,3181.6399
2016-03-31,3188.26
2016-04-01,3204.4399
2016-04-04,3212.01
2016-04-05,3214.78
2016-04-06,3253.45
2016-04-07,3254.7
2016-04-08,3283.3101
2016-04-11,3311.9399
2016-04-12,3325.71
2016-04-13,3361.55
2016-04-18,3365.6599
2016-04-19,3363.3701
2016-04-20,3368.8301
2016-04-21,3395.71
2016-04-25,3395.8401
2016-04-26,3369.52
2016-04-27,3397.6599
2016-04-28,3404.98
2016-04-29,3397.8301
2016-05-02,3435.55
2016-05-04,3493.46
2016-05-05,3474.03
2016-05-06,3475.03
2016-05-09,3471.3701
2016-05-10,3474.6101
2016-05-11,3507.46
2016-05-12,3502.97
2016-05-13,3506.6001
2016-05-16,3509.8501
2016-05-17,3510.0601
2016-05-18,3482.5801
2016-05-19,3483.5601
2016-05-20,3460.6899
2016-05-23,3454.6399
2016-05-25,3443.3401
2016-05-27,3440.1101
2016-05-30,3441.26
2016-05-31,3436.45
2016-06-01,3425.5701
2016-06-02,3421.4199
2016-06-03,3416.6799
2016-06-06,3416.47
2016-06-07,3414.48
2016-06-08,3424.49
2016-06-09,3423.1201
2016-06-10,3426.4399
2016-06-13,3423.8201
2016-06-14,3441.48
2016-06-15,3436.0601
2016-06-16,3426.6799
2016-06-17,3385.0601
2016-06-21,3402.21
2016-06-22,3398.2
2016-06-24,3361.71
2016-06-27,3341.6499
2016-06-28,3320.77
2016-06-29,3318.71
2016-06-30,3310.55
2016-07-01,3300.2
2016-07-04,3316.3899
2016-07-05,3290.3301
2016-07-06,3309.3401
2016-07-08,3326.23
2016-07-11,3359.1001
2016-07-12,3374.3101
2016-07-13,3390.96
2016-07-14,3408.0
2016-07-15,3404.52
2016-07-18,3416.3
2016-07-19,3411.76
2016-07-21,3422.1899
2016-07-22,3427.1499
2016-07-25,3428.5801
2016-07-26,3411.96
2016-07-27,3406.75
2016-07-28,3401.79
2016-07-29,3414.6599
2016-08-01,3414.3899
2016-08-02,3439.3999
2016-08-03,3529.6699
2016-08-04,3534.1201
2016-08-05,3511.02
2016-08-08,3531.3601
2016-08-09,3531.3899
2016-08-10,3546.52
2016-08-11,3565.6299
2016-08-12,3554.6399
2016-08-15,3566.8401
2016-08-16,3601.6499
2016-08-17,3606.5
2016-08-19,3621.5801
2016-08-22,3632.8601
2016-08-23,3637.1399
2016-08-24,3627.96
2016-08-25,3613.8
2016-08-26,3612.5701
2016-08-29,3584.9299
2016-08-30,3585.73
2016-08-31,3579.5901
2016-09-01,3585.1399
2016-09-02,3597.6499
2016-09-05,3599.9399
2016-09-06,3591.95
2016-09-07,3593.2
2016-09-08,3583.48
2016-09-09,3579.28
2016-09-12,3584.0601
2016-09-14,3590.24
2016-09-15,3582.75
2016-09-16,3577.95
2016-09-20,3563.0
2016-09-21,3552.03
2016-09-22,3565.8799
2016-09-23,3579.21
2016-09-26,3587.3501
2016-09-27,3589.1699
2016-09-28,3588.7
2016-09-29,3614.51
2016-09-30,3622.9299
2016-10-03,3617.3201
2016-10-04,3652.6001
2016-10-05,3641.9399
2016-10-06,3643.5801
2016-10-07,3646.1299
2016-10-10,3664.48
2016-10-11,3661.23
2016-10-12,3650.0901
2016-10-13,3638.0801
2016-10-14,3615.48
2016-10-17,3615.1201
2016-10-18,3598.4399
2016-10-19,3591.74
2016-10-20,3597.05
2016-10-21,3593.1699
2016-10-24,3594.5901
2016-10-25,3586.96
2016-10-26,3587.47
2016-10-27,3585.8201
2016-10-28,3584.0601
2016-10-31,3572.3601
2016-11-01,3559.9199
2016-11-02,3574.8301
2016-11-03,3598.73
2016-11-04,3610.3999
2016-11-07,3608.55
2016-11-08,3619.8999
2016-11-09,3614.5801
2016-11-10,3588.45
2016-11-11,3593.6499
2016-11-14,3589.97
2016-11-16,3583.79
2016-11-17,3531.9199
2016-11-18,3527.1001
2016-11-21,3514.98
2016-11-22,3486.3
2016-11-23,3473.6499
2016-11-24,3473.8701
2016-11-25,3478.53
2016-11-28,3476.54
2016-11-29,3459.8601
2016-11-30,3456.8999
2016-12-01,3467.1001
2016-12-02,3508.4399
2016-12-05,3521.76
2016-12-06,3555.8501
2016-12-07,3540.05
2016-12-08,3533.8401
2016-12-09,3555.9099
2016-12-12,3555.02
2016-12-15,3540.6201
2016-12-16,3529.6101
2016-12-19,3521.6699
2016-12-20,3512.29
2016-12-21,3496.0601
2016-12-22,3490.3501
2016-12-23,3478.1499
2016-12-26,3482.21
2016-12-28,3477.02
2016-12-29,3505.78
2016-12-30,3503.1299
2017-01-02,3496.4399
2017-01-03,3472.5
2017-01-04,3438.3999
2017-01-05,3447.75
2017-01-06,3446.98
2017-01-09,3462.25
2017-01-10,3471.28
2017-01-11,3462.3101
2017-01-12,3503.0701
2017-01-16,3524.3999
2017-01-17,3508.79
2017-01-18,3491.3401
2017-01-19,3497.27
2017-01-20,3492.6101
2017-01-23,3508.3999
2017-01-24,3500.4399
2017-01-25,3479.48
2017-01-26,3474.4099
2017-01-27,3479.3899
2017-01-30,3491.1599
2017-01-31,3492.9199
2017-02-01,3489.6101
2017-02-02,3490.9099
2017-02-03,3504.3501
2017-02-06,3506.1299
2017-02-07,3466.3201
2017-02-08,3478.0801
2017-02-09,3485.2
2017-02-10,3488.5
2017-02-14,3521.24
2017-02-15,3532.9299
2017-02-16,3545.9099
2017-02-17,3547.8601
2017-02-20,3543.6299
2017-02-21,3538.0701
2017-02-22,3544.72
2017-02-23,3538.8501
2017-02-24,3553.1101
2017-02-28,3534.8501
2017-03-01,3543.8201
2017-03-02,3538.55
2017-03-03,3533.1399
2017-03-06,3524.77
2017-03-07,3534.3701
2017-03-08,3529.1599
2017-03-09,3507.77
2017-03-10,3501.9199
2017-03-13,3496.5801
2017-03-14,3482.0801
2017-03-15,3459.8899
2017-03-16,3450.0701
2017-03-17,3447.1899
2017-03-20,3451.6899
2017-03-21,3448.52
2017-03-22,3447.5901
2017-03-23,3423.6899
2017-03-24,3411.96
2017-03-27,3416.6799
2017-03-28,3398.1699
2017-03-29,3399.03
2017-03-30,3419.53
2017-03-31,3423.72
2017-04-03,3438.8799
2017-04-04,3443.1201
2017-04-05,3495.48
2017-04-06,3520.46
2017-04-07,3549.98
2017-04-10,3581.6299
2017-04-12,3588.8899
2017-04-13,3647.8201
2017-04-18,3612.96
2017-04-19,3622.78
2017-04-20,3671.5601
2017-04-21,3704.24
2017-04-24,3735.8301
2017-04-25,3717.6399
2017-04-26,3702.96
2017-04-27,3720.55
2017-04-28,3761.5801
2017-05-01,3786.3899
2017-05-03,3778.6399
2017-05-04,3757.6499
2017-05-05,3785.1499
2017-05-08,3801.6899
2017-05-09,3827.3401
2017-05-10,3836.5
2017-05-15,3850.22
2017-05-16,3836.4399
2017-05-17,3841.9199
2017-05-18,3868.6001
2017-05-19,3841.0801
2017-05-22,3844.6799
2017-05-23,3828.8899
2017-05-24,3821.6599
2017-05-25,3846.1001
2017-05-26,3846.8101
2017-05-29,3828.5901
2017-05-30,3820.6599
2017-05-31,3803.27
2017-06-01,3818.8999
2017-06-02,3833.3401
2017-06-05,3842.45
2017-06-06,3839.3301
2017-06-07,3836.9299
2017-06-08,3833.6699
2017-06-12,3840.77
2017-06-13,3840.28
2017-06-14,3844.3501
2017-06-15,3872.6599
2017-06-16,3900.3
2017-06-19,3916.4399
2017-06-20,3885.28
2017-06-21,3900.5901
2017-06-22,3923.02
2017-06-23,3913.6201
2017-06-26,3915.3
2017-06-28,3909.99
2017-06-29,3898.48
2017-06-30,3903.23
2017-07-03,3933.51
2017-07-04,3929.48
2017-07-05,3920.5901
2017-07-06,3907.1201
2017-07-07,3905.45
2017-07-10,3908.9399
2017-07-11,3904.3201
2017-07-12,3904.45
2017-07-13,3902.6799
2017-07-14,3899.5801
2017-07-17,3909.54
2017-07-18,3882.1399
2017-07-19,3874.8601
2017-07-20,3838.0801
2017-07-21,3837.26
2017-07-24,3819.23
2017-07-25,3813.3899
2017-07-26,3821.8899
2017-07-27,3830.5601
2017-07-28,3830.8401
2017-07-31,3822.9199
2017-08-01,3811.01
2017-08-02,3789.0901
2017-08-03,3789.8301
2017-08-04,3781.8999
2017-08-07,3784.51
2017-08-09,3754.0801
2017-08-10,3734.21
2017-08-11,3737.9399
2017-08-14,3724.21
2017-08-15,3734.9299
2017-08-16,3696.28
2017-08-17,3697.8701
2017-08-18,3690.8101
2017-08-21,3706.02
2017-08-22,3698.99
2017-08-23,3678.0701
2017-08-24,3663.6499
2017-08-25,3658.1499
2017-08-28,3690.5701
2017-08-29,3694.1699
2017-08-30,3686.1001
2017-08-31,3683.96
2017-09-01,3685.96
2017-09-05,3683.6499
2017-09-07,3676.23
2017-09-08,3670.78
2017-09-11,3674.5801
2017-09-12,3672.5
2017-09-13,3660.1499
2017-09-14,3655.1599
2017-09-15,3663.8101
2017-09-18,3682.3401
2017-09-19,3683.6899
2017-09-20,3692.52
2017-09-21,3716.25
2017-09-22,3713.22
2017-09-25,3692.1499
2017-09-26,3679.7
2017-09-27,3685.4099
2017-09-28,3672.3899
2017-09-29,3682.8899
2017-10-02,3687.97
2017-10-03,3709.6599
2017-10-04,3752.8701
2017-10-05,3784.3799
2017-10-09,3797.4299
2017-10-10,3796.6399
2017-10-11,3833.96
2017-10-12,3870.4199
2017-10-13,3917.6399
2017-10-16,3915.4199
2017-10-17,3845.3
2017-10-18,3847.98
2017-10-20,3827.5901
2017-10-23,3831.4199
2017-10-24,3827.1399
2017-10-25,3825.1101
2017-10-26,3861.45
2017-10-27,3896.03
2017-10-30,3872.5
2017-10-31,3879.1201
2017-11-01,3899.6299
2017-11-02,3902.45
2017-11-03,3898.4099
2017-11-07,3883.1799
2017-11-08,3878.4199
2017-11-09,3869.0601
2017-11-10,3849.1001
2017-11-13,3841.97
2017-11-14,3813.98
2017-11-15,3770.1899
2017-11-16,3737.8601
2017-11-17,3762.3999
2017-11-20,3798.0
2017-11-21,3784.5801
2017-11-22,3769.55
2017-11-23,3753.1899
2017-11-24,3752.3701
2017-11-27,3733.1001
2017-11-28,3741.78
2017-11-29,3731.4199
2017-11-30,3723.4199
2017-12-01,3724.96
2017-12-05,3720.8401
2017-12-06,3716.5
2017-12-07,3708.5601
2017-12-08,3712.6101
2017-12-11,3713.1499
2017-12-12,3695.8501
2017-12-13,3709.99
2017-12-14,3687.8
2017-12-15,3689.23
2017-12-18,3692.5601
2017-12-19,3692.95
2017-12-20,3662.6399
2017-12-21,3652.3501
2017-12-22,3647.02
2017-12-25,3649.9099
2017-12-27,3671.1699
2017-12-28,3668.7
2017-12-29,3667.77
2018-01-01,3671.72
2018-01-03,3702.6299
2018-01-04,3742.8501
2018-01-05,3745.26
2018-01-08,3783.9299
2018-01-09,3810.05
2018-01-10,3808.6201
2018-01-11,3791.5701
2018-01-12,3793.96
2018-01-15,3767.2
2018-01-17,3747.1599
2018-01-18,3746.1799
2018-01-19,3709.6299
2018-01-22,3735.48
2018-01-23,3717.0701
2018-01-24,3726.6599
2018-01-25,3745.24
2018-01-26,3747.8999
