time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1676347200,8790.72,8800.62,8634.11,8638.92,8881.502000000002,9259.69640358592,8503.307596414084,,0.17928927860920527
1676433600,8638.92,8679.64,8578.24,8628.58,8893.617500000002,9219.480701964778,8567.754298035226,,0.09333011766598383
1676520000,8628.58,8890.21,8628.58,8843.05,8911.524000000001,9179.868816487638,8643.179183512364,,0.37241415560721924
1676606400,8843.05,8905.85,8842.38,8848.36,8918.034500000002,9173.296388065599,8662.772611934404,,0.36352349634330056
1676865600,8848.36,9106.9,8848.06,9082.33,8922.611500000003,9186.078320474064,8659.144679525942,,0.8031093245681042
1676952000,9082.33,9181.14,9013.55,9146.35,8934.817000000003,9215.437120881728,8654.196879118277,,0.876902766871007
1677038400,9146.35,9280,9146,9160.25,8945.926500000003,9243.274566028118,8648.578433971888,,0.8603916158979358
1677124800,9160.25,9275.64,9140.06,9255.99,8962.398000000003,9288.716086632676,8636.07991336733,,0.9498555428379996
1677211200,9255.99,9356.68,9255.93,9315.87,8979.022000000003,9339.963023303917,8618.080976696088,,0.9666247090959931
1677470400,9315.87,9351.82,9191.49,9198.63,8994.470000000005,9365.10815000551,8623.8318499945,,0.7754168722201993
1677556800,9198.62,9217.75,9150.83,9188.48,9010.641500000003,9385.480982086205,8635.802017913802,,0.7372195412956778
1677643200,9188.48,9273.06,9182.92,9222.68,9024.275000000005,9409.006045510374,8639.543954489636,,0.7578489600921068
1677729600,9222.68,9359.99,9222.68,9333.83,9039.847500000003,9447.53869165686,8632.156308343147,,0.8605455624455014
1677816000,9333.83,9465.96,9333.83,9444.92,9053.163000000004,9494.148983182637,8612.177016817372,,0.9441830522283874
1678161600,9444.92,9676.01,9444.92,9642.94,9080.303000000004,9590.840298543033,8569.765701456974,,1.0510243831407122
1678248000,9642.94,9773.91,9638.81,9647.86,9113.903000000002,9678.150299332172,8549.655700667832,,0.9731586669816389
1678334400,9647.86,9728.91,9605.83,9703.48,9149.704500000003,9765.797155968768,8533.611844031238,,0.9494255000728914
1678420800,9703.48,9705.99,9596.75,9606.96,9181.934000000003,9822.412628476935,8541.45537152307,,0.8318034209905756
1678680000,9606.96,9608.15,9441.99,9491.04,9209.562000000004,9853.312714037373,8565.811285962634,,0.7186234468266997
1678766400,9491.04,9597.02,9456.3,9550.7,9247.561000000005,9877.504321764403,8617.617678235607,,0.7406081543581876
1678852800,9550.7,9646.49,9530.67,9587.79,9295.004500000005,9875.42454357063,8714.584456429378,,0.7522186330772103
1678939200,9587.79,9665.24,9581.18,9596.55,9343.403000000002,9850.235696896818,8836.570303103186,,0.749734282683359
1679025600,9596.55,9686.98,9574.56,9670.42,9384.771500000004,9855.251436034037,8914.291563965971,,0.8035713939343556
1679284800,9670.42,9758.05,9670.42,9699.96,9427.351500000002,9847.375836498159,9007.327163501846,,0.8245151248530017
1679371200,9699.96,9796.92,9586.69,9604.43,9453.456500000004,9848.624756683956,9058.288243316052,,0.6910243262792515
1679457600,9604.43,9619.06,9501.39,9527.05,9472.491500000004,9842.530614649606,9102.452385350402,,0.5737199093826313
1679544000,9527.05,9534.45,9381.02,9395.98,9484.278000000004,9827.854936221942,9140.701063778066,,0.3715018520000902
1679630400,9395.98,9474.21,9371.62,9419.35,9492.446000000004,9821.381089425857,9163.51091057415,,0.3888899324672382
1679889600,9419.35,9437.43,9268.91,9285.21,9490.913000000004,9823.392214212901,9158.433785787107,,0.19065284203257488
1679976000,9285.21,9298.75,9178.26,9233.4,9492.651500000004,9819.311961290618,9165.99103870939,,0.10317894155950441
1680062400,9233.4,9337.63,9233.4,9272.43,9496.849000000004,9809.63010952486,9184.067890475148,,0.1412523116550789
1680148800,9272.43,9325.75,9208.09,9228.5,9497.140000000003,9808.909454564891,9185.370545435115,,0.06916882640904891
1680235200,9228.46,9373.89,9228.46,9301.09,9495.503000000002,9811.00666559465,9179.999334405355,,0.19190056851862408
1680494400,9301.09,9343.57,9222.51,9236.93,9485.103500000001,9819.723039015293,9150.48396098471,,0.1291706384954113
1680580800,9236.93,9259.57,9150.92,9173.97,9461.655000000002,9814.003188727731,9109.306811272274,,0.09176035353156423
1680753600,9173.97,9282.84,9165.97,9256.9,9442.107000000002,9794.344434813125,9089.869565186878,,0.23709920965915765
1681099200,9256.9,9334.52,9247.73,9322.85,9423.075500000003,9757.44609664198,9088.704903358026,,0.3501281198069614
1681185600,9322.85,9421.89,9303.03,9411.69,9413.312000000002,9736.8635665605,9089.760433439504,,0.49749344437233944
1681272000,9411.69,9434.82,9398.63,9415.28,9409.524000000001,9731.11483733191,9087.933162668092,,0.5089492599474449
1681704000,9415.28,9460.36,9389.88,9405.9,9402.284000000001,9717.287952889108,9087.280047110895,,0.5057396105141435
1681790400,9405.9,9423.85,9329.75,9345.53,9390.171000000002,9694.148465210508,9086.193534789496,,0.4265718595799736
1681876800,9345.53,9382.85,9291.42,9291.42,9374.914500000003,9666.295950780099,9083.533049219906,,0.3567264666702904
1681963200,9291.42,9307.68,9278.1,9279.19,9355.353000000001,9615.62300711543,9095.082992884572,,0.3536846391865996
1682049600,9279.19,9299.73,9239.22,9260.41,9333.3755,9542.804419538288,9123.946580461712,,0.32579889119214833
1682308800,9260.37,9283.84,9181.52,9187.29,9312.518500000002,9490.547994216162,9134.489005783842,,0.1482928276818248
1682395200,9187.29,9189.39,9089.45,9125.32,9292.432,9459.418627200888,9125.445372799113,,-0.0003753977226049585
1682481600,9125.32,9177.71,9091.72,9091.72,9277.219000000001,9458.523759771791,9095.91424022821,,-0.011566823268982146
1682568000,9091.72,9091.72,8968.87,9012.4,9256.8715,9459.851570970131,9053.891429029867,,-0.10220567179714118
1682654400,9012.4,9013.45,8948.53,8983.21,9241.7715,9476.518977965015,9007.024022034986,,-0.05072263659960601
1683000000,8983.21,8983.48,8694.29,8711.46,9215.674500000001,9545.241193976952,8886.10780602305,,-0.26496580087559696
1683086400,8711.45,8820.39,8711.45,8799.91,9192.0485,9566.627251147114,8817.469748852887,,-0.023439328577918906
1683172800,8799.91,8858.13,8798.08,8830.36,9172.141500000002,9577.877939146068,8766.405060853935,,0.07881340320414491
1683518400,8830.36,8966.33,8823.6,8926.58,9153.416000000001,9568.089398683724,8738.742601316279,,0.22648836322749957
1683604800,8926.58,8968.72,8887.09,8914.74,9137.3065,9562.646708034637,8711.966291965364,,0.23836649369641005
1683691200,8914.74,8936.49,8876.59,8892.37,9123.2265,9561.23476742308,8685.21823257692,,0.2364701568783272
1683777600,8892.37,8981.41,8884.6,8949.82,9107.872500000001,9547.58661507353,8668.158384926473,,0.3202781141406247
1683864000,8949.82,8966.3,8919.6,8927.74,9088.117000000002,9522.897245967877,8653.336754032127,,0.31556544773212614
1684123200,8927.74,8951.09,8892.73,8906.2,9062.842500000002,9477.761193956865,8647.92380604314,,0.311237114305234
1684209600,8906.2,8931.07,8787.33,8823.01,9033.229000000003,9427.324384895368,8639.133615104638,,0.2332891882813886
1684296000,8823.01,8847.32,8774.73,8823.28,9004.098000000002,9368.728900259328,8639.467099740676,,0.2520533779893544
1684382400,8823.28,8852.35,8770.89,8780.21,8975.832000000002,9317.10876683885,8634.555233161154,,0.213396839445012
