time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1666159200,40.5,40.5,40.5,40.5,41.259999999999984,43.06266469427876,39.45733530572121,23220,0.28920095278616115
1666238400,42,42,40.5,40.5,41.26999999999999,43.0533676009164,39.486632399083575,16534,0.2841162978389
1666242000,40.6,41.9,40.5,40.5,41.29499999999999,43.01949992751493,39.570500072485046,28371,0.26949839564632294
1666245600,41,41,40.5,40.5,41.319999999999986,42.982046930745206,39.657953069254766,8668,0.2533162316805582
1666324800,41.8,41.8,41,41,41.36999999999999,42.92704848993152,39.81295151006846,4484,0.38118546005710446
1666328400,41,41.3,40.4,40.7,41.39499999999998,42.89096122944475,39.899038770555215,13864,0.26770788362679304
1666332000,40.7,40.8,40.4,40.4,41.31999999999998,42.85701008454842,39.78298991545154,18420,0.20071764354419727
1666670400,40.6,40.9,40.3,40.5,41.25499999999998,42.815096150883576,39.694903849116386,1368,0.2580277345173981
1666674000,40.5,40.9,40.5,40.5,41.18499999999999,42.748681553257875,39.6213184467421,7655,0.2809656324931346
1666677600,40.5,40.5,40.3,40.4,41.09999999999999,42.640129864654064,39.55987013534591,3497,0.27274643649702446
1666756800,40.4,40.5,40.4,40.4,41.014999999999986,42.51203039381247,39.5179696061875,2780,0.2945933487583484
1666760400,40.4,40.6,40.4,40.6,40.944999999999986,42.38093175325248,39.50906824674749,14662,0.3798689425111838
1666764000,40.6,40.6,40.4,40.5,40.889999999999986,42.30548578233731,39.474514217662666,22201,0.36223810762832287
1666843200,41,41.6,41,41.6,40.844999999999985,42.10114489610012,39.58885510389985,2002,0.8005226556044666
1666846800,41.6,41.6,40.5,40.5,40.75499999999998,41.82546718772754,39.68453281227242,29408,0.38089312642019973
1666850400,40.5,40.5,40.4,40.4,40.65999999999998,41.47092539730936,39.84907460269061,16663,0.33968932230840504
1666929600,40.4,40.5,40.4,40.5,40.634999999999984,41.433185442112226,39.83681455788774,1250,0.41543318577526755
1666933200,40.4,40.5,40.4,40.4,40.639999999999986,41.43094879733159,39.849051202668385,3107,0.3482834787727929
1666936800,40.4,40.5,40.3,40.3,40.55999999999999,41.11281099844393,40.00718900155604,4463,0.26483825328019883
1667188800,40.4,40.4,40.2,40.4,40.554999999999986,41.11168662638883,39.99831337361114,455,0.360783434833479
1667192400,40.2,40.4,40,40,40.52999999999999,41.13695963621922,39.92304036378076,13662,0.0633976558133478
1667196000,40,40.4,40,40,40.50499999999998,41.15453829756449,39.85546170243547,18096,0.11126233672940186
1667278800,40.4,40.4,40.1,40.4,40.499999999999986,41.151152823844654,39.84884717615532,381,0.42321311039584614
1667282400,40.2,40.5,40,40.5,40.499999999999986,41.151152823844654,39.84884717615532,1845,0.5000000000000109
1667361600,40.5,40.5,40.5,40.5,40.47499999999998,41.08450799830847,39.86549200169149,80,0.520508344492115
1667365200,41,41,40.2,40.2,40.44999999999998,41.061555394058125,39.83844460594184,2110,0.2956031436980425
1667368800,40.3,41,40.3,41,40.47999999999998,41.13604877867509,39.823951221324876,482,0.8963119945518072
1667372400,40.2,40.8,40.2,40.8,40.49499999999998,41.165745853510415,39.82425414648955,300,0.7273588412091989
1667448000,41,41.5,40,41.5,40.54499999999998,41.34618661995962,39.74381338004034,3937,1.0959909815069875
1667451600,40.3,40.9,40.2,40.2,40.53499999999998,41.34808056181485,39.72191943818512,7186,0.29399335334482024
1667455200,40.9,41,40.1,41,40.56499999999998,41.399925146346185,39.73007485365378,660,0.760502394677932
1667458800,41,41,40,40.5,40.55999999999998,41.395224520714166,39.724775479285796,4613,0.4640815143042759
1667534400,41,41,41,41,40.58499999999998,41.44121259042546,39.7287874095745,1,0.7423463545390019
1667541600,40.1,40.1,40.1,40.1,40.50999999999998,41.252697785107365,39.76730221489259,50,0.22397924955391357
1667880000,40.2,40.2,40.2,40.2,40.494999999999976,41.24991721400635,39.7400827859936,1200,0.3046143374884801
1667883600,40.2,41,39.3,39.3,40.439999999999976,41.357387595296196,39.52261240470376,6765,-0.12132952627939111
1667890800,39.6,39.6,39.3,39.3,40.379999999999974,41.42230513766542,39.33769486233453,886,-0.01808245060508949
1667966400,40.9,41,39,39,40.30999999999997,41.51316249941801,39.106837500581925,6118,-0.04439861641033574
1667970000,40,40,39,39.9,40.28999999999997,41.50638809596525,39.07361190403469,1866,0.33968932230856663
1667973600,40.9,40.9,40.9,40.9,40.31499999999997,41.55962845861951,39.07037154138043,500,0.7350098922890105
1667977200,39.9,39.9,39.9,39.9,40.30999999999997,41.56043992258956,39.059560077410374,77,0.33605769753780707
