time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1346299200,30.125,31.225,29.525,30.125,29.402500000000014,30.71645395657343,28.088546043426597,888,0.7749335303514557
1346644800,32.474998,32.474998,31.975,32.474998,29.547499900000012,31.424857792889988,27.670142007110037,10596,1.279685671838906
1346731200,31.575,32.5,31.25,31.575,29.651249900000018,31.7256453519317,27.576854448068335,15976,0.9636893361409419
1346817600,32.5,32.525003,32.474998,32.5,29.909999900000013,32.04918150706329,27.770818292936738,9800,1.10537172053279
1346904000,33,33.724998,33,33,30.084999900000014,32.60086915097422,27.56913064902581,49008,1.079322653367465
1346990400,33.55,33.625,33,33.55,30.293749900000016,33.201621459233166,27.385878340766865,8000,1.0599026699890939
1347249600,34.325,35.25,33.625,34.325,30.559999900000015,33.8898044690396,27.230195330960424,50996,1.0653485094901414
1347336000,32.55,35,32.5,32.55,30.73749990000001,34.09411629303596,27.38088350696406,85040,0.7699891628606151
1347422400,32.474998,32.5,31.75,32.474998,30.882499800000012,34.276063185587304,27.488936414412716,860,0.7346351046164987
1347508800,34,34,32.75,34,31.132499800000012,34.668213709806444,27.59678589019358,17600,0.9055051219001162
1347595200,35.25,35.5,34,35.25,31.43249980000001,35.28260023141725,27.582399368582774,74872,0.9957663141523235
1347854400,36.099998,36.25,35,36.099998,31.76499970000001,36.001991014128414,27.52800838587161,28004,1.0115656345039907
1347940800,37.175,38,35.275003,37.175,32.20499970000001,36.75833874426185,27.651660655738173,77900,1.045753374796813
1348027200,36.25,37.75,34.775003,36.25,32.55499970000001,37.22071478902963,27.889284610970392,129608,0.8959736320685283
1348113600,38.349998,38.724998,36,38.349998,32.972499600000006,38.11861162676357,27.826387573236445,132276,1.0224816688825518
1348200000,40,41.25,38.75,40,33.472499600000006,39.26840078894384,27.67659841105617,39124,1.0631134992821947
1348545600,38.7,39.25,37.75,38.7,33.919999600000004,39.87696166333405,27.963037536665958,14568,0.9012112507331199
1348632000,37.650003,38.75,37,37.650003,34.31499975000001,40.16017744533158,28.469822054668448,976,0.7852781749187532
1348718400,37.5,37.5,37.5,37.5,34.69624975000001,40.32393327010865,29.068566229891367,800,0.7491034046230329
1348804800,37.599998,38.375,37.5,37.599998,35.05749965000001,40.45199005605338,29.66300924394664,13536,0.7356569535416125
1349064000,37.474998,38.25,37.25,37.474998,35.42499955000001,40.41130591142657,30.438693188573453,54592,0.7055628256076002
1349150400,40.099998,40.75,37.275003,40.099998,35.80624955000001,40.993972090046135,30.618527009953887,819280,0.9138375189550724
1349236800,41.825,43,40.875,41.825,36.31874955000001,41.75255272986428,30.884946370135737,245896,1.0066663502281596
1349323200,40.849998,42.5,40.625,40.849998,36.73624945000001,42.21519690453013,31.257301995469888,160004,0.8754141269048534
1349409600,42.45,42.974998,40.849998,42.45,37.208749450000006,42.94140304920725,31.47609585079276,124016,0.9571400015103647
1349668800,40.5,43,40.5,40.5,37.55624945000001,43.201554474310285,31.910944425689735,9044,0.7607255531209891
1349755200,40.8,41.625,40.5,40.8,37.87999945000001,43.48949153859444,32.27050736140557,13696,0.7602731676845677
1349841600,40,40.875,40,40,38.25249945000001,43.364101755637876,33.14089714436214,80944,0.6709347133747647
1349928000,39.75,41.25,39.625,39.75,38.616249550000006,43.01759236424475,34.214906735755264,15324,0.6287959718032714
1350014400,40.849998,41.224998,38.8,40.849998,38.95874945000001,42.91331242060777,35.00418647939226,7880,0.7391223207288227
1350273600,38.775003,41.2,38.75,38.775003,39.13499960000001,42.7085272523355,35.561471947664515,59888,0.44963008055013476
1350360000,37.474998,40.25,37.075,37.474998,39.20374960000001,42.5890217828541,35.81847741714592,54112,0.2446657895403676
1350446400,37.25,38.75,37.25,37.25,39.20749960000001,42.58392878095522,35.831070419044806,44368,0.21012281095049837
1350532800,39.125,40,37.5,39.125,39.35124960000001,42.44472955370997,36.25776964629005,76960,0.4634312160761423
1350619200,39.025003,39.5,38.75,39.025003,39.38499985000001,42.448633039859445,36.32136666014057,12800,0.4412467440306511
1350878400,39.925,39.974998,39.75,39.925,39.38124985000001,42.442045019152395,36.320454680847625,1000,0.5888249817367828
1350964800,39.175,39.25,38,39.175,39.40499985000001,42.45162065771575,36.35837904228427,156896,0.4622532857686908
1351051200,40,41.25,38.5,40,39.52249970000001,42.46893411026683,36.576065289733194,60788,0.5810301933645874
1351137600,40,40,38.75,40,39.64749970000001,42.44865589593124,36.846343504068784,4480,0.5629205005618764
1351224000,39.025003,40.45,39,39.025003,39.71874995000001,42.376797622165725,37.060702277834295,29592,0.36950065695496664
1351569600,38.3,38.75,38.275003,38.3,39.760000050000016,42.30049151150959,37.21950858849044,1508,0.21265401357962474
