horizon_days,fold,test_from,ticker,n_test,own_baseline_%,sent_share_%,acc_A_%,edge_A_pp,acc_D_%,edge_D_pp,acc_H_%,edge_H_pp,acc_S_%,edge_S_pp
5,3,2020-07,LFIN,125,38.4,29.5,33.6,-4.8,40.0,1.6,38.4,0.0,40.0,1.6
5,3,2020-07,LOFC,125,42.4,29.5,45.6,3.2,50.4,8.0,49.6,7.2,40.0,-2.4
5,3,2020-07,LOLC,125,34.4,29.5,45.6,11.2,44.8,10.4,44.8,10.4,41.6,7.2
5,3,2020-07,SAMP,125,38.4,29.5,32.8,-5.6,37.6,-0.8,34.4,-4.0,31.2,-7.2
5,4,2021-01,CFIN,113,51.3,30.8,27.4,-23.9,46.9,-4.4,36.3,-15.0,26.5,-24.8
5,4,2021-01,COMB,114,27.2,30.8,32.5,5.3,38.6,11.4,31.6,4.4,34.2,7.0
5,4,2021-01,HNB,114,32.5,30.8,31.6,-0.9,37.7,5.3,40.4,7.9,27.2,-5.3
5,4,2021-01,LFIN,110,56.4,30.8,31.8,-24.5,45.5,-10.9,40.0,-16.4,30.9,-25.5
5,4,2021-01,LOFC,114,41.2,30.8,43.0,1.8,45.6,4.4,52.6,11.4,48.2,7.0
5,4,2021-01,LOLC,114,50.0,30.8,35.1,-14.9,46.5,-3.5,41.2,-8.8,37.7,-12.3
5,4,2021-01,SAMP,111,42.3,30.8,19.8,-22.5,28.8,-13.5,32.4,-9.9,27.9,-14.4
5,5,2021-07,CFIN,124,30.6,31.8,46.8,16.1,33.9,3.2,36.3,5.6,35.5,4.8
5,5,2021-07,COMB,124,41.9,31.8,42.7,0.8,41.1,-0.8,27.4,-14.5,31.5,-10.5
5,5,2021-07,HNB,124,40.3,31.8,33.1,-7.3,36.3,-4.0,40.3,0.0,29.0,-11.3
5,5,2021-07,LFIN,124,37.1,31.8,25.0,-12.1,37.1,0.0,33.1,-4.0,38.7,1.6
5,5,2021-07,LOFC,124,41.1,31.8,50.0,8.9,51.6,10.5,46.8,5.6,43.5,2.4
5,5,2021-07,LOLC,124,46.8,31.8,53.2,6.5,55.6,8.9,47.6,0.8,58.1,11.3
5,5,2021-07,SAMP,124,46.8,31.8,40.3,-6.5,41.1,-5.6,34.7,-12.1,32.3,-14.5
5,6,2022-01,CFIN,83,47.0,30.6,48.2,1.2,43.4,-3.6,44.6,-2.4,47.0,0.0
5,6,2022-01,COMB,83,38.6,30.6,36.1,-2.4,27.7,-10.8,30.1,-8.4,44.6,6.0
5,6,2022-01,HNB,83,44.6,30.6,38.6,-6.0,24.1,-20.5,22.9,-21.7,39.8,-4.8
5,6,2022-01,LFIN,83,49.4,30.6,48.2,-1.2,49.4,0.0,53.0,3.6,49.4,0.0
5,6,2022-01,LOFC,82,68.3,30.6,65.9,-2.4,51.2,-17.1,45.1,-23.2,53.7,-14.6
5,6,2022-01,LOLC,83,47.0,30.6,45.8,-1.2,45.8,-1.2,43.4,-3.6,41.0,-6.0
5,6,2022-01,SAMP,94,41.5,30.6,35.1,-6.4,39.4,-2.1,37.2,-4.3,34.0,-7.4
10,0,2019-01,CFIN,97,34.0,30.2,33.0,-1.0,44.3,10.3,42.3,8.2,43.3,9.3
10,0,2019-01,COMB,115,46.1,30.2,36.5,-9.6,40.0,-6.1,39.1,-7.0,40.9,-5.2
10,0,2019-01,HNB,110,49.1,30.2,37.3,-11.8,42.7,-6.4,38.2,-10.9,38.2,-10.9
10,0,2019-01,LFIN,94,29.8,30.2,26.6,-3.2,37.2,7.4,40.4,10.6,38.3,8.5
10,0,2019-01,LOFC,94,48.9,30.2,50.0,1.1,53.2,4.3,58.5,9.6,58.5,9.6
10,0,2019-01,LOLC,93,23.7,30.2,41.9,18.3,49.5,25.8,45.2,21.5,35.5,11.8
10,0,2019-01,SAMP,116,50.0,30.2,39.7,-10.3,28.4,-21.6,26.7,-23.3,46.6,-3.4
10,1,2019-07,CFIN,101,28.7,29.6,41.6,12.9,43.6,14.9,47.5,18.8,52.5,23.8
10,1,2019-07,COMB,123,39.8,29.6,40.7,0.8,28.5,-11.4,24.4,-15.4,38.2,-1.6
10,1,2019-07,HNB,119,50.4,29.6,38.7,-11.8,40.3,-10.1,31.1,-19.3,31.1,-19.3
10,1,2019-07,LFIN,97,40.2,29.6,27.8,-12.4,44.3,4.1,55.7,15.5,49.5,9.3
10,1,2019-07,LOFC,119,31.9,29.6,46.2,14.3,58.0,26.1,54.6,22.7,43.7,11.8
10,1,2019-07,LOLC,113,46.9,29.6,47.8,0.9,35.4,-11.5,42.5,-4.4,46.9,0.0
10,1,2019-07,SAMP,123,52.8,29.6,40.7,-12.2,27.6,-25.2,30.1,-22.8,41.5,-11.4
10,2,2020-01,CFIN,62,37.1,29.0,43.5,6.5,29.0,-8.1,35.5,-1.6,46.8,9.7
10,2,2020-01,COMB,82,51.2,29.0,51.2,0.0,61.0,9.8,58.5,7.3,56.1,4.9
10,2,2020-01,HNB,80,42.5,29.0,37.5,-5.0,42.5,0.0,48.8,6.2,30.0,-12.5
10,2,2020-01,LFIN,71,35.2,29.0,31.0,-4.2,32.4,-2.8,35.2,0.0,31.0,-4.2
10,2,2020-01,LOFC,78,62.8,29.0,61.5,-1.3,41.0,-21.8,42.3,-20.5,64.1,1.3
10,2,2020-01,LOLC,82,63.4,29.0,45.1,-18.3,61.0,-2.4,59.8,-3.7,51.2,-12.2
10,2,2020-01,SAMP,82,37.8,29.0,32.9,-4.9,48.8,11.0,46.3,8.5,34.1,-3.7
10,3,2020-07,CFIN,122,25.4,28.3,33.6,8.2,41.0,15.6,35.2,9.8,28.7,3.3
10,3,2020-07,COMB,125,20.8,28.3,27.2,6.4,34.4,13.6,45.6,24.8,31.2,10.4
10,3,2020-07,HNB,125,30.4,28.3,31.2,0.8,45.6,15.2,41.6,11.2,31.2,0.8
10,3,2020-07,LFIN,125,41.6,28.3,41.6,0.0,45.6,4.0,44.8,3.2,36.8,-4.8
10,3,2020-07,LOFC,125,32.8,28.3,44.8,12.0,52.8,20.0,43.2,10.4,46.4,13.6
10,3,2020-07,LOLC,125,32.8,28.3,39.2,6.4,58.4,25.6,58.4,25.6,49.6,16.8
10,3,2020-07,SAMP,125,29.6,28.3,31.2,1.6,41.6,12.0,42.4,12.8,31.2,1.6
10,4,2021-01,CFIN,113,34.5,29.9,37.2,2.7,42.5,8.0,47.8,13.3,31.0,-3.5
10,4,2021-01,COMB,114,40.4,29.9,36.8,-3.5,30.7,-9.6,24.6,-15.8,26.3,-14.0
