group,horizon_days,model,calibration,test_from,n_test,base_rate_%,actual_up_%,accuracy_%,AUC,Brier,Brier_climatology,Brier_skill,ECE,MCE,prob_spread,prob_std
BANKS,5,XGBoost,isotonic,2021-01,111,51.8,47.7,51.4,0.417,0.2533,0.2511,-0.0088,0.1131,0.65,0.65,0.0809
BANKS,5,Logistic,raw,2021-07,124,51.4,49.2,44.4,0.465,0.2766,0.2504,-0.1047,0.1754,0.4052,0.67,0.1226
BANKS,5,Logistic,Platt,2021-07,124,51.4,49.2,53.2,0.465,0.2518,0.2504,-0.0055,0.0193,0.0562,0.161,0.027
BANKS,5,Logistic,isotonic,2021-07,124,51.4,49.2,52.4,0.51,0.2542,0.2504,-0.0152,0.031,0.3677,0.6,0.079
BANKS,5,XGBoost,raw,2021-07,124,51.4,49.2,46.8,0.427,0.3065,0.2504,-0.224,0.2189,0.759,0.617,0.1591
BANKS,5,XGBoost,Platt,2021-07,124,51.4,49.2,49.2,0.427,0.2546,0.2504,-0.0168,0.0403,0.0665,0.108,0.0278
BANKS,5,XGBoost,isotonic,2021-07,124,51.4,49.2,50.8,0.504,0.2552,0.2504,-0.0193,0.0217,0.0217,0.11,0.0424
BANKS,5,Logistic,raw,2022-01,94,50.2,33.0,61.7,0.573,0.2551,0.2507,-0.0174,0.2252,0.4202,0.921,0.202
BANKS,5,Logistic,Platt,2022-01,94,50.2,33.0,64.9,0.573,0.2414,0.2507,0.0372,0.1566,0.7717,0.463,0.0728
BANKS,5,Logistic,isotonic,2022-01,94,50.2,33.0,70.2,0.556,0.2556,0.2507,-0.0195,0.2062,1.0,1.0,0.1559
BANKS,5,XGBoost,raw,2022-01,94,50.2,33.0,45.7,0.438,0.2878,0.2507,-0.1479,0.2003,0.7761,0.645,0.1627
BANKS,5,XGBoost,Platt,2022-01,94,50.2,33.0,53.2,0.562,0.2494,0.2507,0.0053,0.1705,0.2011,0.047,0.012
BANKS,5,XGBoost,isotonic,2022-01,94,50.2,33.0,67.0,0.704,0.237,0.2507,0.055,0.1509,0.3636,0.134,0.0372
BANKS,5,Logistic,raw,2022-07,98,50.4,49.0,59.2,0.62,0.2439,0.2501,0.0246,0.0637,0.9008,0.791,0.1665
BANKS,5,Logistic,Platt,2022-07,98,50.4,49.0,55.1,0.62,0.2459,0.2501,0.0166,0.0212,0.1868,0.143,0.0251
BANKS,5,Logistic,isotonic,2022-07,98,50.4,49.0,55.1,0.577,0.2449,0.2501,0.0207,0.0236,0.2268,0.501,0.0633
BANKS,5,XGBoost,raw,2022-07,98,50.4,49.0,46.9,0.492,0.2868,0.2501,-0.1468,0.1823,0.5156,0.713,0.1457
BANKS,5,XGBoost,Platt,2022-07,98,50.4,49.0,51.0,0.508,0.2503,0.2501,-0.0008,0.0212,0.0212,0.008,0.0016
BANKS,5,XGBoost,isotonic,2022-07,98,50.4,49.0,48.0,0.469,0.2724,0.2501,-0.0891,0.0764,1.0,0.8,0.0952
BANKS,5,Logistic,raw,2023-01,119,49.9,63.9,53.8,0.535,0.2643,0.2504,-0.0555,0.1671,0.7551,0.564,0.1068
BANKS,5,Logistic,Platt,2023-01,119,49.9,63.9,39.5,0.535,0.2595,0.2504,-0.0364,0.1688,0.1766,0.163,0.0288
BANKS,5,Logistic,isotonic,2023-01,119,49.9,63.9,37.0,0.51,0.2604,0.2504,-0.0399,0.1742,0.2232,0.275,0.0447
BANKS,5,XGBoost,raw,2023-01,119,49.9,63.9,55.5,0.516,0.2511,0.2504,-0.0029,0.0933,0.3691,0.552,0.1251
BANKS,5,XGBoost,Platt,2023-01,119,49.9,63.9,36.1,0.484,0.2566,0.2504,-0.0248,0.1602,0.1602,0.021,0.0047
BANKS,5,XGBoost,isotonic,2023-01,119,49.9,63.9,38.7,0.539,0.2569,0.2504,-0.0259,0.1629,0.3221,0.122,0.0264
BANKS,5,Logistic,raw,2023-07,123,50.0,52.0,45.5,0.494,0.2583,0.25,-0.0331,0.1061,0.8461,0.494,0.0715
BANKS,5,Logistic,Platt,2023-07,123,50.0,52.0,44.7,0.494,0.2507,0.25,-0.003,0.0604,0.0618,0.072,0.0095
BANKS,5,Logistic,isotonic,2023-07,123,50.0,52.0,43.9,0.441,0.257,0.25,-0.0279,0.1022,0.1188,0.169,0.0359
BANKS,5,XGBoost,raw,2023-07,123,50.0,52.0,41.5,0.372,0.3144,0.25,-0.2577,0.224,0.9023,0.726,0.1635
BANKS,5,XGBoost,Platt,2023-07,123,50.0,52.0,60.2,0.628,0.2412,0.25,0.0353,0.0624,0.0678,0.207,0.0469
BANKS,5,XGBoost,isotonic,2023-07,123,50.0,52.0,48.0,0.454,0.2651,0.25,-0.0605,0.0353,1.0,0.727,0.0572
BANKS,5,Logistic,raw,2024-01,115,50.5,49.6,50.4,0.475,0.2592,0.2501,-0.0366,0.0626,0.1492,0.397,0.0791
BANKS,5,Logistic,Platt,2024-01,115,50.5,49.6,54.8,0.525,0.2498,0.2501,0.0011,0.0345,0.0857,0.068,0.013
BANKS,5,Logistic,isotonic,2024-01,115,50.5,49.6,50.4,0.508,0.25,0.2501,0.0003,0.0088,0.5,0.045,0.0055
BANKS,5,XGBoost,raw,2024-01,115,50.5,49.6,55.7,0.591,0.2434,0.2501,0.0265,0.0791,0.7799,0.674,0.1379
BANKS,5,XGBoost,Platt,2024-01,115,50.5,49.6,47.0,0.409,0.2641,0.2501,-0.0563,0.0775,0.6371,0.278,0.0578
BANKS,5,XGBoost,isotonic,2024-01,115,50.5,49.6,50.4,0.59,0.2462,0.2501,0.0153,0.008,0.0081,0.494,0.0467
BANKS,5,Logistic,raw,2024-07,125,50.4,62.4,64.0,0.657,0.2387,0.249,0.0415,0.1322,0.4368,0.385,0.0835
BANKS,5,Logistic,Platt,2024-07,125,50.4,62.4,37.6,0.343,0.2559,0.249,-0.0278,0.1402,0.2429,0.091,0.0191
BANKS,5,Logistic,isotonic,2024-07,125,50.4,62.4,39.2,0.505,0.2511,0.249,-0.0084,0.1338,0.3714,0.14,0.0185
BANKS,5,XGBoost,raw,2024-07,125,50.4,62.4,62.4,0.691,0.2334,0.249,0.0627,0.1405,0.2311,0.571,0.1318
BANKS,5,XGBoost,Platt,2024-07,125,50.4,62.4,37.6,0.309,0.2633,0.249,-0.0575,0.16,0.2847,0.19,0.0441
BANKS,5,XGBoost,isotonic,2024-07,125,50.4,62.4,37.6,0.523,0.2503,0.249,-0.0052,0.1399,0.375,0.121,0.0243
BANKS,5,Logistic,raw,2025-01,114,50.7,50.0,50.9,0.548,0.2535,0.25,-0.0138,0.068,0.7635,0.459,0.0858
BANKS,5,Logistic,Platt,2025-01,114,50.7,50.0,44.7,0.452,0.251,0.25,-0.0036,0.065,0.0708,0.088,0.0156
BANKS,5,Logistic,isotonic,2025-01,114,50.7,50.0,56.1,0.549,0.248,0.25,0.0084,0.0179,0.0256,0.088,0.0273
BANKS,5,XGBoost,raw,2025-01,114,50.7,50.0,61.4,0.62,0.2407,0.25,0.0372,0.0509,0.2727,0.548,0.1124
BANKS,5,XGBoost,Platt,2025-01,114,50.7,50.0,43.0,0.38,0.2514,0.25,-0.0056,0.0759,0.0991,0.033,0.0068
BANKS,5,XGBoost,isotonic,2025-01,114,50.7,50.0,59.6,0.599,0.2473,0.25,0.0111,0.0862,0.1379,0.058,0.0147
BANKS,5,Logistic,raw,2025-07,124,50.0,58.9,57.3,0.552,0.2435,0.25,0.0258,0.0554,0.1494,0.375,0.0713
BANKS,5,Logistic,Platt,2025-07,124,50.0,58.9,58.9,0.448,0.2477,0.25,0.0093,0.0701,0.0701,0.033,0.0062
BANKS,5,Logistic,isotonic,2025-07,124,50.0,58.9,55.6,0.564,0.242,0.25,0.0319,0.036,0.0367,0.111,0.0475
BANKS,5,XGBoost,raw,2025-07,124,50.0,58.9,59.7,0.573,0.2479,0.25,0.0084,0.1007,0.1282,0.512,0.1233
BANKS,5,XGBoost,Platt,2025-07,124,50.0,58.9,58.9,0.5,0.2465,0.25,0.0142,0.0657,0.0657,0.0,0.0
BANKS,5,XGBoost,isotonic,2025-07,124,50.0,58.9,58.9,0.563,0.2434,0.25,0.0263,0.0621,0.0859,0.057,0.0268
BANKS,5,Logistic,raw,2026-01,118,49.8,47.5,47.5,0.508,0.2559,0.2499,-0.0239,0.0881,0.3178,0.32,0.0712
BANKS,5,Logistic,Platt,2026-01,118,49.8,47.5,47.5,0.508,0.254,0.2499,-0.0164,0.068,0.068,0.004,0.0009
BANKS,5,Logistic,isotonic,2026-01,118,49.8,47.5,47.5,0.477,0.2632,0.2499,-0.0533,0.0923,0.2544,0.191,0.0613
BANKS,5,XGBoost,raw,2026-01,118,49.8,47.5,46.6,0.447,0.2728,0.2499,-0.0917,0.1373,0.321,0.551,0.1141
BANKS,5,XGBoost,Platt,2026-01,118,49.8,47.5,47.5,0.447,0.2547,0.2499,-0.0191,0.0686,0.0686,0.035,0.0071
BANKS,5,XGBoost,isotonic,2026-01,118,49.8,47.5,48.3,0.453,0.2583,0.2499,-0.0336,0.0732,0.4545,0.124,0.0358
BANKS,10,Logistic,raw,2017-01,95,54.8,55.8,52.6,0.58,0.238,0.2467,0.0353,0.1135,0.3492,0.441,0.0901
BANKS,10,Logistic,Platt,2017-01,95,54.8,55.8,54.7,0.58,0.2417,0.2467,0.0203,0.048,0.3668,0.255,0.0509
BANKS,10,Logistic,isotonic,2017-01,95,54.8,55.8,50.5,0.57,0.2414,0.2467,0.0215,0.1166,0.1341,0.467,0.1296
BANKS,10,XGBoost,raw,2017-01,95,54.8,55.8,52.6,0.527,0.2663,0.2467,-0.0792,0.1455,0.5546,0.683,0.1693
BANKS,10,XGBoost,Platt,2017-01,95,54.8,55.8,54.7,0.527,0.2481,0.2467,-0.0056,0.0492,0.0515,0.157,0.039
BANKS,10,XGBoost,isotonic,2017-01,95,54.8,55.8,51.6,0.519,0.2485,0.2467,-0.0071,0.0676,0.2258,0.228,0.0743
BANKS,10,Logistic,raw,2017-07,113,51.7,54.0,49.6,0.473,0.266,0.2489,-0.0685,0.0873,0.5173,0.405,0.0814
BANKS,10,Logistic,Platt,2017-07,113,51.7,54.0,53.1,0.473,0.2555,0.2489,-0.0262,0.0606,0.5027,0.177,0.0349
BANKS,10,Logistic,isotonic,2017-07,113,51.7,54.0,54.0,0.484,0.2477,0.2489,0.005,0.0272,0.1667,0.303,0.0366
BANKS,10,XGBoost,raw,2017-07,113,51.7,54.0,61.9,0.641,0.2455,0.2489,0.0136,0.1559,0.5565,0.8,0.2213
BANKS,10,XGBoost,Platt,2017-07,113,51.7,54.0,54.0,0.641,0.2448,0.2489,0.0166,0.061,0.0728,0.12,0.0331
BANKS,10,XGBoost,isotonic,2017-07,113,51.7,54.0,65.5,0.658,0.2342,0.2489,0.0593,0.0669,0.3333,0.519,0.1035
BANKS,10,Logistic,raw,2018-01,105,51.8,39.0,39.0,0.292,0.2886,0.2543,-0.135,0.1966,0.658,0.425,0.0998
