ticker,horizon_days,fold,test_from,model,n_test,MAPE_%,MAE,RMSE,ret_RMSE_pp,dir_acc_%
HNB,5,0,2017-01,Ridge P+M+N (+macro+news),100,1.504,3.036,3.798,1.874,53.0
HNB,5,0,2017-01,XGBoost P+M+N (+macro+news),100,1.469,2.968,3.758,1.868,48.0
HNB,5,1,2017-07,naive (no change),116,1.972,4.206,5.924,2.8,5.2
HNB,5,1,2017-07,"ARIMA(1,1,1)",116,1.974,4.21,5.93,2.804,47.4
HNB,5,1,2017-07,Ridge P (price only),116,1.987,4.224,5.794,2.746,50.0
HNB,5,1,2017-07,XGBoost P (price only),116,1.862,3.95,5.389,2.574,63.8
HNB,5,1,2017-07,Ridge P+M (+macro),116,1.999,4.252,5.836,2.77,43.1
HNB,5,1,2017-07,XGBoost P+M (+macro),116,1.974,4.198,5.918,2.822,48.3
HNB,5,1,2017-07,Ridge P+M+N (+macro+news),116,2.219,4.706,6.082,2.868,47.4
HNB,5,1,2017-07,XGBoost P+M+N (+macro+news),116,2.072,4.39,6.001,2.868,47.4
HNB,5,2,2018-01,naive (no change),106,1.155,2.357,3.396,1.643,10.4
HNB,5,2,2018-01,"ARIMA(1,1,1)",106,1.154,2.355,3.389,1.639,54.7
HNB,5,2,2018-01,Ridge P (price only),106,1.302,2.672,3.594,1.726,48.1
HNB,5,2,2018-01,XGBoost P (price only),106,1.302,2.661,3.772,1.821,50.9
HNB,5,2,2018-01,Ridge P+M (+macro),106,1.303,2.673,3.574,1.719,47.2
HNB,5,2,2018-01,XGBoost P+M (+macro),106,1.442,2.93,4.186,2.042,45.3
HNB,5,2,2018-01,Ridge P+M+N (+macro+news),106,1.528,3.134,4.089,1.966,38.7
HNB,5,2,2018-01,XGBoost P+M+N (+macro+news),106,1.434,2.916,4.147,2.019,42.5
HNB,5,3,2018-07,naive (no change),103,2.049,3.788,4.733,2.572,3.9
HNB,5,3,2018-07,"ARIMA(1,1,1)",103,2.049,3.787,4.731,2.572,52.4
HNB,5,3,2018-07,Ridge P (price only),103,2.042,3.773,4.723,2.548,48.5
HNB,5,3,2018-07,XGBoost P (price only),103,2.716,4.979,6.582,3.601,48.5
HNB,5,3,2018-07,Ridge P+M (+macro),103,2.038,3.764,4.719,2.544,51.5
HNB,5,3,2018-07,XGBoost P+M (+macro),103,2.57,4.696,6.269,3.44,44.7
HNB,5,3,2018-07,Ridge P+M+N (+macro+news),103,2.082,3.838,4.826,2.6,52.4
HNB,5,3,2018-07,XGBoost P+M+N (+macro+news),103,2.477,4.536,5.961,3.271,48.5
HNB,5,4,2019-01,naive (no change),109,2.68,3.825,5.326,3.569,4.6
HNB,5,4,2019-01,"ARIMA(1,1,1)",109,2.68,3.825,5.326,3.569,22.0
HNB,5,4,2019-01,Ridge P (price only),109,2.797,3.947,5.466,3.729,54.1
HNB,5,4,2019-01,XGBoost P (price only),109,3.109,4.365,6.209,4.287,43.1
HNB,5,4,2019-01,Ridge P+M (+macro),109,2.891,4.035,5.609,3.876,47.7
HNB,5,4,2019-01,XGBoost P+M (+macro),109,3.488,4.933,6.617,4.524,33.9
HNB,5,4,2019-01,Ridge P+M+N (+macro+news),109,2.797,3.901,5.471,3.784,51.4
HNB,5,4,2019-01,XGBoost P+M+N (+macro+news),109,3.26,4.597,6.199,4.257,33.0
HNB,5,5,2019-07,naive (no change),117,3.264,4.819,7.776,5.893,2.6
HNB,5,5,2019-07,"ARIMA(1,1,1)",117,3.265,4.82,7.773,5.89,47.9
HNB,5,5,2019-07,Ridge P (price only),117,3.238,4.784,7.608,5.751,53.8
HNB,5,5,2019-07,XGBoost P (price only),117,3.803,5.612,8.368,6.266,35.0
HNB,5,5,2019-07,Ridge P+M (+macro),117,3.264,4.817,7.64,5.767,53.0
HNB,5,5,2019-07,XGBoost P+M (+macro),117,3.661,5.4,8.39,6.329,43.6
HNB,5,5,2019-07,Ridge P+M+N (+macro+news),117,3.334,4.927,7.742,5.845,50.4
HNB,5,5,2019-07,XGBoost P+M+N (+macro+news),117,3.85,5.684,8.633,6.485,32.5
HNB,5,6,2020-01,naive (no change),79,6.787,6.686,9.748,8.946,1.3
HNB,5,6,2020-01,"ARIMA(1,1,1)",79,6.782,6.679,9.74,8.942,62.0
HNB,5,6,2020-01,Ridge P (price only),79,6.838,6.721,9.614,8.9,49.4
HNB,5,6,2020-01,XGBoost P (price only),79,7.308,7.106,11.339,10.296,53.2
HNB,5,6,2020-01,Ridge P+M (+macro),79,6.918,6.788,9.876,9.087,49.4
HNB,5,6,2020-01,XGBoost P+M (+macro),79,6.966,6.854,10.745,9.653,44.3
HNB,5,6,2020-01,Ridge P+M+N (+macro+news),79,6.849,6.741,9.824,9.029,53.2
HNB,5,6,2020-01,XGBoost P+M+N (+macro+news),79,7.269,7.149,11.113,9.995,43.0
HNB,5,7,2020-07,naive (no change),125,3.142,3.363,4.355,4.105,0.8
HNB,5,7,2020-07,"ARIMA(1,1,1)",125,3.277,3.479,4.448,4.138,54.4
HNB,5,7,2020-07,Ridge P (price only),125,3.559,3.794,4.844,4.533,48.8
HNB,5,7,2020-07,XGBoost P (price only),125,4.176,4.464,5.775,5.425,47.2
HNB,5,7,2020-07,Ridge P+M (+macro),125,3.599,3.825,4.941,4.589,48.0
HNB,5,7,2020-07,XGBoost P+M (+macro),125,4.137,4.373,5.857,5.414,50.4
HNB,5,7,2020-07,Ridge P+M+N (+macro+news),125,3.574,3.793,4.841,4.503,46.4
HNB,5,7,2020-07,XGBoost P+M+N (+macro+news),125,3.943,4.161,5.533,5.145,55.2
HNB,5,8,2021-01,naive (no change),114,2.646,3.261,4.682,3.863,2.6
HNB,5,8,2021-01,"ARIMA(1,1,1)",114,2.617,3.23,4.696,3.883,56.1
HNB,5,8,2021-01,Ridge P (price only),114,2.79,3.41,4.467,3.642,46.5
HNB,5,8,2021-01,XGBoost P (price only),114,3.117,3.813,5.087,4.17,41.2
HNB,5,8,2021-01,Ridge P+M (+macro),114,2.82,3.447,4.517,3.685,49.1
HNB,5,8,2021-01,XGBoost P+M (+macro),114,3.222,3.931,5.198,4.253,45.6
HNB,5,8,2021-01,Ridge P+M+N (+macro+news),114,2.805,3.428,4.531,3.705,48.2
HNB,5,8,2021-01,XGBoost P+M+N (+macro+news),114,3.273,4.006,5.307,4.354,45.6
HNB,5,9,2021-07,naive (no change),124,2.344,3.118,4.112,3.026,5.6
HNB,5,9,2021-07,"ARIMA(1,1,1)",124,2.352,3.124,4.126,3.028,50.8
HNB,5,9,2021-07,Ridge P (price only),124,2.515,3.322,4.277,3.132,47.6
HNB,5,9,2021-07,XGBoost P (price only),124,2.791,3.686,5.044,3.706,52.4
HNB,5,9,2021-07,Ridge P+M (+macro),124,2.42,3.2,4.127,3.021,51.6
HNB,5,9,2021-07,XGBoost P+M (+macro),124,2.491,3.281,4.162,3.116,51.6
HNB,5,9,2021-07,Ridge P+M+N (+macro+news),124,2.387,3.16,4.05,2.98,50.8
HNB,5,9,2021-07,XGBoost P+M+N (+macro+news),124,2.601,3.424,4.441,3.31,50.8
HNB,5,10,2022-01,naive (no change),92,4.248,4.058,6.797,6.185,3.3
HNB,5,10,2022-01,"ARIMA(1,1,1)",92,4.002,3.864,6.477,5.867,63.0
HNB,5,10,2022-01,Ridge P (price only),92,4.253,4.073,6.456,5.891,54.3
HNB,5,10,2022-01,XGBoost P (price only),92,4.098,3.869,6.475,6.133,51.1
HNB,5,10,2022-01,Ridge P+M (+macro),92,5.747,5.284,8.075,7.683,54.3
HNB,5,10,2022-01,XGBoost P+M (+macro),92,6.017,5.611,8.85,8.422,38.0
HNB,5,10,2022-01,Ridge P+M+N (+macro+news),92,5.351,4.996,7.531,7.065,62.0
HNB,5,10,2022-01,XGBoost P+M+N (+macro+news),92,5.681,5.299,8.516,7.953,41.3
HNB,5,11,2022-07,naive (no change),98,3.341,2.518,3.272,4.268,3.1
HNB,5,11,2022-07,"ARIMA(1,1,1)",98,3.335,2.518,3.273,4.282,51.0
HNB,5,11,2022-07,Ridge P (price only),98,3.488,2.629,3.593,4.661,53.1
HNB,5,11,2022-07,XGBoost P (price only),98,3.472,2.618,3.525,4.573,57.1
HNB,5,11,2022-07,Ridge P+M (+macro),98,3.684,2.786,3.58,4.744,56.1
HNB,5,11,2022-07,XGBoost P+M (+macro),98,3.782,2.86,3.651,4.862,52.0
HNB,5,11,2022-07,Ridge P+M+N (+macro+news),98,3.951,2.943,3.82,4.933,48.0
HNB,5,11,2022-07,XGBoost P+M+N (+macro+news),98,3.169,2.397,3.236,4.219,59.2
HNB,5,12,2023-01,naive (no change),118,5.173,5.829,7.952,7.624,3.4
HNB,5,12,2023-01,"ARIMA(1,1,1)",118,5.232,5.899,8.033,7.707,31.4
HNB,5,12,2023-01,Ridge P (price only),118,5.232,5.883,7.949,7.683,55.1
HNB,5,12,2023-01,XGBoost P (price only),118,5.471,6.193,8.494,8.101,40.7
HNB,5,12,2023-01,Ridge P+M (+macro),118,4.841,5.422,7.328,7.02,61.0
HNB,5,12,2023-01,XGBoost P+M (+macro),118,6.221,6.961,9.31,8.992,42.4
HNB,5,12,2023-01,Ridge P+M+N (+macro+news),118,4.904,5.498,7.421,7.106,61.9
HNB,5,12,2023-01,XGBoost P+M+N (+macro+news),118,5.94,6.655,8.893,8.62,37.3
HNB,5,13,2023-07,naive (no change),123,2.954,5.058,7.173,4.269,3.3
HNB,5,13,2023-07,"ARIMA(1,1,1)",123,3.156,5.377,7.266,4.28,43.9
HNB,5,13,2023-07,Ridge P (price only),123,2.971,5.068,6.962,4.09,43.9
HNB,5,13,2023-07,XGBoost P (price only),123,3.421,5.84,8.067,4.754,36.6
HNB,5,13,2023-07,Ridge P+M (+macro),123,4.725,7.952,10.268,5.864,43.9
HNB,5,13,2023-07,XGBoost P+M (+macro),123,5.864,9.858,12.223,7.107,40.7
HNB,5,13,2023-07,Ridge P+M+N (+macro+news),123,4.95,8.31,10.388,5.966,43.9
HNB,5,13,2023-07,XGBoost P+M+N (+macro+news),123,6.285,10.538,12.705,7.387,41.5
HNB,5,14,2024-01,naive (no change),115,3.091,5.621,7.563,4.348,2.6
HNB,5,14,2024-01,"ARIMA(1,1,1)",115,3.09,5.627,7.63,4.391,48.7
HNB,5,14,2024-01,Ridge P (price only),115,3.186,5.776,7.649,4.351,47.8
HNB,5,14,2024-01,XGBoost P (price only),115,3.07,5.569,7.319,4.192,53.0
HNB,5,14,2024-01,Ridge P+M (+macro),115,3.183,5.758,7.52,4.266,47.0
HNB,5,14,2024-01,XGBoost P+M (+macro),115,3.407,6.203,8.08,4.604,47.0
HNB,5,14,2024-01,Ridge P+M+N (+macro+news),115,3.207,5.797,7.512,4.253,48.7
HNB,5,14,2024-01,XGBoost P+M+N (+macro+news),115,3.401,6.204,8.131,4.629,44.3
HNB,5,15,2024-07,naive (no change),125,4.262,9.422,13.518,6.475,0.8
HNB,5,15,2024-07,"ARIMA(1,1,1)",125,4.263,9.427,13.532,6.48,45.6
HNB,5,15,2024-07,Ridge P (price only),125,4.057,8.887,12.332,6.076,69.6
HNB,5,15,2024-07,XGBoost P (price only),125,4.504,10.05,14.323,6.813,56.0
HNB,5,15,2024-07,Ridge P+M (+macro),125,4.098,9.0,12.742,6.223,62.4
HNB,5,15,2024-07,XGBoost P+M (+macro),125,4.821,10.721,14.823,6.966,51.2
HNB,5,15,2024-07,Ridge P+M+N (+macro+news),125,4.089,8.96,12.646,6.177,62.4
HNB,5,15,2024-07,XGBoost P+M+N (+macro+news),125,4.793,10.671,14.717,6.922,48.0
HNB,5,16,2025-01,naive (no change),114,3.351,10.536,13.251,4.242,2.6
HNB,5,16,2025-01,"ARIMA(1,1,1)",114,3.391,10.628,13.296,4.237,49.1
HNB,5,16,2025-01,Ridge P (price only),114,3.47,10.862,13.788,4.417,43.9
HNB,5,16,2025-01,XGBoost P (price only),114,3.987,12.449,17.46,5.89,52.6
HNB,5,16,2025-01,Ridge P+M (+macro),114,3.475,10.887,13.741,4.414,43.0
HNB,5,16,2025-01,XGBoost P+M (+macro),114,5.649,17.677,22.864,6.999,49.1
HNB,5,16,2025-01,Ridge P+M+N (+macro+news),114,3.521,11.02,13.797,4.421,42.1
HNB,5,16,2025-01,XGBoost P+M+N (+macro+news),114,5.611,17.527,22.285,6.864,49.1
HNB,5,17,2025-07,naive (no change),124,2.177,8.479,11.67,3.111,2.4
HNB,5,17,2025-07,"ARIMA(1,1,1)",124,2.174,8.471,11.642,3.102,54.8
HNB,5,17,2025-07,Ridge P (price only),124,2.219,8.65,11.47,3.021,52.4
HNB,5,17,2025-07,XGBoost P (price only),124,2.398,9.293,12.374,3.273,55.6
HNB,5,17,2025-07,Ridge P+M (+macro),124,2.222,8.66,11.557,3.07,51.6
HNB,5,17,2025-07,XGBoost P+M (+macro),124,2.251,8.727,11.536,3.036,57.3
HNB,5,17,2025-07,Ridge P+M+N (+macro+news),124,2.202,8.58,11.417,3.027,52.4
HNB,5,17,2025-07,XGBoost P+M+N (+macro+news),124,2.138,8.296,10.991,2.886,54.0
HNB,5,18,2026-01,naive (no change),118,2.124,8.79,11.788,2.817,1.7
HNB,5,18,2026-01,"ARIMA(1,1,1)",118,2.099,8.698,11.773,2.819,56.8
HNB,5,18,2026-01,Ridge P (price only),118,2.392,9.897,12.832,3.067,43.2
HNB,5,18,2026-01,XGBoost P (price only),118,2.548,10.534,13.302,3.185,44.1
HNB,5,18,2026-01,Ridge P+M (+macro),118,2.367,9.797,12.919,3.088,42.4
HNB,5,18,2026-01,XGBoost P+M (+macro),118,2.352,9.72,12.402,2.976,43.2
HNB,5,18,2026-01,Ridge P+M+N (+macro+news),118,2.378,9.838,12.926,3.081,44.1
HNB,5,18,2026-01,XGBoost P+M+N (+macro+news),118,2.388,9.859,12.623,3.019,44.9
COMB,1,0,2017-01,naive (no change),113,0.779,0.865,1.237,1.111,15.9
COMB,1,0,2017-01,"ARIMA(1,1,1)",113,0.886,0.983,1.286,1.152,35.4
COMB,1,0,2017-01,Ridge P (price only),113,0.807,0.895,1.237,1.108,46.9
COMB,1,0,2017-01,XGBoost P (price only),113,0.874,0.966,1.322,1.189,45.1
COMB,1,0,2017-01,Ridge P+M (+macro),113,0.803,0.892,1.233,1.105,43.4
COMB,1,0,2017-01,XGBoost P+M (+macro),113,0.883,0.976,1.331,1.198,43.4
COMB,1,0,2017-01,Ridge P+M+N (+macro+news),113,0.839,0.931,1.254,1.123,41.6
COMB,1,0,2017-01,XGBoost P+M+N (+macro+news),113,0.941,1.04,1.408,1.266,36.3
COMB,1,1,2017-07,naive (no change),120,0.684,0.764,1.142,1.025,13.3
COMB,1,1,2017-07,"ARIMA(1,1,1)",120,0.691,0.771,1.142,1.025,37.5
COMB,1,1,2017-07,Ridge P (price only),120,0.709,0.792,1.165,1.045,44.2
COMB,1,1,2017-07,XGBoost P (price only),120,0.743,0.829,1.167,1.046,41.7
COMB,1,1,2017-07,Ridge P+M (+macro),120,0.717,0.801,1.167,1.046,40.8
COMB,1,1,2017-07,XGBoost P+M (+macro),120,0.748,0.835,1.162,1.042,40.8
COMB,1,1,2017-07,Ridge P+M+N (+macro+news),120,0.74,0.826,1.177,1.053,45.8
COMB,1,1,2017-07,XGBoost P+M+N (+macro+news),120,0.758,0.846,1.147,1.026,41.7
COMB,1,2,2018-01,naive (no change),112,0.541,0.579,0.837,0.773,22.3
COMB,1,2,2018-01,"ARIMA(1,1,1)",112,0.552,0.592,0.831,0.767,40.2
COMB,1,2,2018-01,Ridge P (price only),112,0.562,0.602,0.849,0.784,40.2
COMB,1,2,2018-01,XGBoost P (price only),112,0.587,0.629,0.856,0.793,40.2
COMB,1,2,2018-01,Ridge P+M (+macro),112,0.571,0.61,0.857,0.791,43.8
COMB,1,2,2018-01,XGBoost P+M (+macro),112,0.565,0.604,0.82,0.759,42.9
COMB,1,2,2018-01,Ridge P+M+N (+macro+news),112,0.593,0.635,0.875,0.808,43.8
COMB,1,2,2018-01,XGBoost P+M+N (+macro+news),112,0.596,0.637,0.873,0.807,41.1
COMB,1,3,2018-07,naive (no change),121,0.785,0.743,1.128,1.19,16.5
COMB,1,3,2018-07,"ARIMA(1,1,1)",121,0.786,0.743,1.127,1.19,46.3
COMB,1,3,2018-07,Ridge P (price only),121,0.772,0.73,1.085,1.145,52.9
COMB,1,3,2018-07,XGBoost P (price only),121,0.767,0.726,1.042,1.104,54.5
COMB,1,3,2018-07,Ridge P+M (+macro),121,0.775,0.732,1.086,1.147,49.6
COMB,1,3,2018-07,XGBoost P+M (+macro),121,0.761,0.722,1.052,1.113,57.9
COMB,1,3,2018-07,Ridge P+M+N (+macro+news),121,0.776,0.733,1.079,1.139,49.6
COMB,1,3,2018-07,XGBoost P+M+N (+macro+news),121,0.815,0.771,1.087,1.152,47.9
COMB,1,4,2019-01,naive (no change),115,0.796,0.63,0.885,1.127,18.3
COMB,1,4,2019-01,"ARIMA(1,1,1)",115,0.793,0.628,0.879,1.122,53.0
COMB,1,4,2019-01,Ridge P (price only),115,0.796,0.629,0.882,1.124,48.7
COMB,1,4,2019-01,XGBoost P (price only),115,0.803,0.636,0.904,1.155,44.3
COMB,1,4,2019-01,Ridge P+M (+macro),115,0.794,0.628,0.878,1.12,53.0
COMB,1,4,2019-01,XGBoost P+M (+macro),115,0.814,0.644,0.905,1.152,45.2
COMB,1,4,2019-01,Ridge P+M+N (+macro+news),115,0.803,0.636,0.888,1.131,54.8
COMB,1,4,2019-01,XGBoost P+M+N (+macro+news),115,0.856,0.677,0.935,1.187,38.3
COMB,1,5,2019-07,naive (no change),123,0.888,0.731,1.017,1.233,13.8
COMB,1,5,2019-07,"ARIMA(1,1,1)",123,0.89,0.733,1.017,1.233,37.4
COMB,1,5,2019-07,Ridge P (price only),123,0.882,0.725,1.007,1.219,48.8
COMB,1,5,2019-07,XGBoost P (price only),123,0.907,0.747,1.084,1.307,46.3
COMB,1,5,2019-07,Ridge P+M (+macro),123,0.891,0.732,1.011,1.222,40.7
COMB,1,5,2019-07,XGBoost P+M (+macro),123,0.933,0.767,1.063,1.287,48.0
COMB,1,5,2019-07,Ridge P+M+N (+macro+news),123,0.895,0.736,1.01,1.223,43.9
COMB,1,5,2019-07,XGBoost P+M+N (+macro+news),123,0.916,0.754,1.041,1.259,45.5
COMB,1,6,2020-01,naive (no change),82,2.117,1.211,1.845,3.353,12.2
COMB,1,6,2020-01,"ARIMA(1,1,1)",82,2.122,1.214,1.847,3.355,43.9
COMB,1,6,2020-01,Ridge P (price only),82,2.044,1.177,1.762,3.171,54.9
COMB,1,6,2020-01,XGBoost P (price only),82,2.323,1.345,1.981,3.548,41.5
COMB,1,6,2020-01,Ridge P+M (+macro),82,2.036,1.172,1.761,3.169,54.9
COMB,1,6,2020-01,XGBoost P+M (+macro),82,2.384,1.384,2.022,3.603,36.6
COMB,1,6,2020-01,Ridge P+M+N (+macro+news),82,2.024,1.165,1.746,3.141,50.0
COMB,1,6,2020-01,XGBoost P+M+N (+macro+news),82,2.385,1.389,1.993,3.543,32.9
COMB,1,7,2020-07,naive (no change),125,1.104,0.711,1.01,1.582,4.8
