ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
COMB,bank,D,38,10,2 weeks,2106,529,29.7,37.2,-7.6,False,1.055,-14.7,0.0,0.0,0.0
COMB,bank,E,42,10,2 weeks,2106,529,31.0,37.2,-6.2,False,1.039,-10.2,11.2,0.0,0.0
COMB,bank,E2,54,10,2 weeks,2106,529,31.6,37.2,-5.7,False,1.071,-11.0,9.2,13.2,6.5
COMB,bank,A,9,15,3 weeks,2097,528,32.2,45.6,-13.4,False,0.983,-9.3,0.0,0.0,0.0
COMB,bank,D,38,15,3 weeks,2097,528,31.1,45.6,-14.6,False,1.065,-18.0,0.0,0.0,0.0
COMB,bank,E,42,15,3 weeks,2097,528,32.8,45.6,-12.9,False,1.039,-16.1,10.7,0.0,0.0
COMB,bank,E2,54,15,3 weeks,2097,528,31.1,45.6,-14.6,False,1.073,-18.8,8.7,12.5,8.5
COMB,bank,A,9,22,1 month,2084,527,33.0,47.6,-14.6,False,0.985,-10.1,0.0,0.0,0.0
COMB,bank,D,38,22,1 month,2084,527,34.7,47.6,-12.9,False,1.071,-14.2,0.0,0.0,0.0
COMB,bank,E,42,22,1 month,2084,527,36.8,47.6,-10.8,False,1.047,-10.4,10.5,0.0,0.0
COMB,bank,E2,54,22,1 month,2084,527,34.0,47.6,-13.7,False,1.077,-18.4,8.8,11.9,8.2
COMB,bank,A,9,44,2 months,2044,523,34.4,40.2,-5.7,False,1.005,-16.1,0.0,0.0,0.0
COMB,bank,D,38,44,2 months,2044,523,34.0,40.2,-6.1,False,1.136,-20.5,0.0,0.0,0.0
COMB,bank,E,42,44,2 months,2044,523,37.3,40.2,-2.9,False,1.124,-14.1,9.9,0.0,0.0
COMB,bank,E2,54,44,2 months,2044,523,37.5,40.2,-2.7,False,1.097,-15.9,7.6,11.2,9.8
COMB,bank,A,9,66,3 months,2005,518,29.3,45.4,-16.0,False,1.036,-33.6,0.0,0.0,0.0
COMB,bank,D,38,66,3 months,2005,518,33.4,45.4,-12.0,False,1.092,-24.3,0.0,0.0,0.0
COMB,bank,E,42,66,3 months,2005,518,36.7,45.4,-8.7,False,1.085,-21.8,10.0,0.0,0.0
COMB,bank,E2,54,66,3 months,2005,518,29.3,45.4,-16.0,False,0.995,-20.1,7.2,10.6,8.0
COMB,bank,A,9,132,6 months,1886,505,40.2,74.1,-33.9,False,0.935,-46.5,0.0,0.0,0.0
COMB,bank,D,38,132,6 months,1886,505,43.6,74.1,-30.5,False,1.014,-47.7,0.0,0.0,0.0
COMB,bank,E,42,132,6 months,1886,505,43.4,74.1,-30.7,False,0.984,-46.7,8.9,0.0,0.0
COMB,bank,E2,54,132,6 months,1886,505,35.2,74.1,-38.8,False,1.159,-70.7,7.2,7.3,12.2
COMB,bank,A,9,252,1 year,1670,481,45.5,85.9,-40.3,False,0.977,-76.9,0.0,0.0,0.0
COMB,bank,D,38,252,1 year,1670,481,39.1,85.9,-46.8,False,0.911,-52.8,0.0,0.0,0.0
COMB,bank,E,42,252,1 year,1670,481,34.1,85.9,-51.8,False,0.927,-59.7,8.9,0.0,0.0
COMB,bank,E2,54,252,1 year,1670,481,27.7,85.9,-58.2,False,0.981,-78.2,7.4,7.0,8.3
SAMP,bank,A,9,1,1 day,2156,540,41.9,42.8,-0.9,False,1.005,-4.4,0.0,0.0,0.0
SAMP,bank,D,38,1,1 day,2156,540,45.2,42.8,2.4,True,1.031,-2.2,0.0,0.0,0.0
SAMP,bank,E,42,1,1 day,2156,540,42.0,42.8,-0.7,False,1.032,-3.5,8.6,0.0,0.0
SAMP,bank,E2,54,1,1 day,2156,540,41.9,42.8,-0.9,False,0.996,-5.0,6.8,14.7,6.3
SAMP,bank,A,9,5,1 week,2149,539,35.4,36.9,-1.5,False,1.022,-1.7,0.0,0.0,0.0
SAMP,bank,D,38,5,1 week,2149,539,33.8,36.9,-3.2,False,1.091,-4.3,0.0,0.0,0.0
SAMP,bank,E,42,5,1 week,2149,539,34.1,36.9,-2.8,False,1.088,-0.7,8.8,0.0,0.0
SAMP,bank,E2,54,5,1 week,2149,539,36.9,36.9,0.0,False,1.054,2.0,6.8,14.0,7.2
SAMP,bank,A,9,10,2 weeks,2140,538,34.4,37.9,-3.5,False,1.005,-0.9,0.0,0.0,0.0
SAMP,bank,D,38,10,2 weeks,2140,538,32.9,37.9,-5.0,False,1.104,-2.2,0.0,0.0,0.0
SAMP,bank,E,42,10,2 weeks,2140,538,31.0,37.9,-6.9,False,1.117,-0.9,9.6,0.0,0.0
SAMP,bank,E2,54,10,2 weeks,2140,538,29.2,37.9,-8.7,False,1.078,0.0,7.3,13.1,8.5
SAMP,bank,A,9,15,3 weeks,2131,537,38.0,42.6,-4.7,False,1.001,-3.7,0.0,0.0,0.0
SAMP,bank,D,38,15,3 weeks,2131,537,31.1,42.6,-11.5,False,1.143,-5.0,0.0,0.0,0.0
SAMP,bank,E,42,15,3 weeks,2131,537,31.7,42.6,-11.0,False,1.163,-3.5,9.1,0.0,0.0
SAMP,bank,E2,54,15,3 weeks,2131,537,33.9,42.6,-8.8,False,1.121,-5.8,7.3,12.4,8.3
SAMP,bank,A,9,22,1 month,2118,536,33.2,41.4,-8.2,False,0.999,-3.4,0.0,0.0,0.0
SAMP,bank,D,38,22,1 month,2118,536,35.4,41.4,-6.0,False,1.164,-2.8,0.0,0.0,0.0
SAMP,bank,E,42,22,1 month,2118,536,39.0,41.4,-2.4,False,1.185,-3.7,9.6,0.0,0.0
SAMP,bank,E2,54,22,1 month,2118,536,32.6,41.4,-8.8,False,1.135,1.3,7.9,12.3,9.7
SAMP,bank,A,9,44,2 months,2079,531,31.3,46.3,-15.1,False,0.997,-5.1,0.0,0.0,0.0
SAMP,bank,D,38,44,2 months,2079,531,34.3,46.3,-12.1,False,1.15,-5.1,0.0,0.0,0.0
SAMP,bank,E,42,44,2 months,2079,531,33.1,46.3,-13.2,False,1.182,-7.2,10.4,0.0,0.0
