ticker,group,phase,horizon_days,horizon,n_test,indep_windows,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp
JKH,control,D,1,1 day,660,660.0,40.5,42.1,-1.7,False,0.997,-10.6
JKH,control,A,5,1 week,659,131.8,36.6,39.8,-3.2,False,1.012,-6.4
JKH,control,D,5,1 week,659,131.8,39.9,39.8,0.2,True,1.011,-3.2
JKH,control,A,10,2 weeks,658,65.8,35.7,38.3,-2.6,False,1.013,-6.7
JKH,control,D,10,2 weeks,658,65.8,40.4,38.3,2.1,True,0.995,-0.6
JKH,control,A,15,3 weeks,657,43.8,37.3,37.1,0.2,True,1.004,-5.9
JKH,control,D,15,3 weeks,657,43.8,45.5,37.1,8.4,True,1.002,-0.2
JKH,control,A,22,1 month,656,29.8,36.6,33.2,3.4,True,0.996,-5.3
JKH,control,D,22,1 month,656,29.8,40.4,33.2,7.2,True,1.032,2.3
JKH,control,A,44,2 months,652,14.8,36.0,37.9,-1.8,False,1.001,-2.9
JKH,control,D,44,2 months,652,14.8,34.0,37.9,-3.8,False,1.08,-0.8
JKH,control,A,66,3 months,646,9.8,33.4,36.8,-3.4,False,0.978,11.9
JKH,control,D,66,3 months,646,9.8,42.4,36.8,5.6,True,1.006,2.5
JKH,control,A,132,6 months,620,4.7,35.3,33.1,2.3,True,1.051,-18.5
JKH,control,D,132,6 months,620,4.7,32.4,33.1,-0.6,False,1.017,5.2
JKH,control,A,252,1 year,572,2.3,29.9,38.3,-8.4,False,1.042,-47.0
JKH,control,D,252,1 year,572,2.3,34.4,38.3,-3.8,False,1.031,-35.8
DIAL,control,A,1,1 day,650,650.0,33.7,35.8,-2.2,False,1.002,-17.4
DIAL,control,D,1,1 day,650,650.0,36.8,35.8,0.9,True,1.002,-13.8
DIAL,control,A,5,1 week,649,129.8,37.1,42.5,-5.4,False,0.996,-4.8
DIAL,control,D,5,1 week,649,129.8,39.8,42.5,-2.8,False,0.991,-2.2
DIAL,control,A,10,2 weeks,648,64.8,35.2,47.1,-11.9,False,1.004,-6.6
DIAL,control,D,10,2 weeks,648,64.8,35.0,47.1,-12.0,False,0.992,-3.4
DIAL,control,A,15,3 weeks,647,43.1,30.9,49.5,-18.5,False,1.003,-9.4
DIAL,control,D,15,3 weeks,647,43.1,36.0,49.5,-13.4,False,0.999,-7.7
DIAL,control,A,22,1 month,646,29.4,32.4,54.5,-22.1,False,1.015,-10.7
DIAL,control,D,22,1 month,646,29.4,32.0,54.5,-22.4,False,1.012,-9.9
DIAL,control,A,44,2 months,642,14.6,37.7,69.0,-31.3,False,1.016,-10.4
DIAL,control,D,44,2 months,642,14.6,26.3,69.0,-42.7,False,1.042,-13.2
DIAL,control,A,66,3 months,636,9.6,48.6,76.7,-28.1,False,0.992,-0.3
DIAL,control,D,66,3 months,636,9.6,35.1,76.7,-41.7,False,1.05,-13.2
DIAL,control,A,132,6 months,610,4.6,45.1,72.8,-27.7,False,0.999,0.0
DIAL,control,D,132,6 months,610,4.6,58.5,72.8,-14.3,False,1.014,-16.1
DIAL,control,A,252,1 year,562,2.2,39.1,78.5,-39.3,False,1.004,-17.4
DIAL,control,D,252,1 year,562,2.2,23.8,78.5,-54.6,False,1.012,-35.4
CTC,control,A,1,1 day,599,599.0,53.1,60.6,-7.5,False,0.989,-3.2
CTC,control,D,1,1 day,599,599.0,36.4,60.6,-24.2,False,0.986,-2.8
CTC,control,A,5,1 week,598,119.6,53.0,53.5,-0.5,False,1.005,-4.3
CTC,control,D,5,1 week,598,119.6,45.2,53.5,-8.4,False,1.053,-4.8
CTC,control,A,10,2 weeks,597,59.7,43.9,47.9,-4.0,False,0.984,-0.7
CTC,control,D,10,2 weeks,597,59.7,46.7,47.9,-1.2,False,1.048,-6.0
CTC,control,A,15,3 weeks,596,39.7,45.8,47.5,-1.7,False,0.984,-0.7
CTC,control,D,15,3 weeks,596,39.7,41.3,47.5,-6.2,False,1.126,-7.4
CTC,control,A,22,1 month,595,27.0,43.7,44.0,-0.3,False,0.985,-1.3
CTC,control,D,22,1 month,595,27.0,26.6,44.0,-17.5,False,1.185,-10.3
CTC,control,A,44,2 months,591,13.4,42.3,53.6,-11.3,False,0.984,-2.2
CTC,control,D,44,2 months,591,13.4,22.8,53.6,-30.8,False,1.32,-25.7
CTC,control,A,66,3 months,586,8.9,32.1,55.5,-23.4,False,0.997,-0.3
CTC,control,D,66,3 months,586,8.9,29.4,55.5,-26.1,False,1.291,-41.5
CTC,control,A,132,6 months,573,4.3,34.0,85.9,-51.8,False,1.019,-0.2
