group,horizon_days,label,fold,test_from,n_test,acc_logistic_%,acc_xgboost_%,best_model,best_acc_%,baseline_%,edge_pp,mag_weighted_edge_pp
BANKS,5,binary up/down,14,2024-01,115,53.9,54.8,XGBoost,54.8,49.6,5.2,-10.8
BANKS,5,binary up/down,15,2024-07,125,73.6,56.0,Logistic,73.6,67.2,6.4,8.1
BANKS,5,binary up/down,16,2025-01,114,41.2,49.1,XGBoost,49.1,50.0,-0.9,-11.6
BANKS,5,binary up/down,17,2025-07,124,54.0,58.1,XGBoost,58.1,58.9,-0.8,-0.3
BANKS,5,binary up/down,18,2026-01,118,48.3,46.6,Logistic,48.3,49.2,-0.8,-3.6
BANKS,5,3-class Buy/Hold/Sell,0,2017-01,95,28.4,36.8,XGBoost,36.8,46.3,-9.5,13.7
BANKS,5,3-class Buy/Hold/Sell,1,2017-07,113,53.1,50.4,Logistic,53.1,52.2,0.9,44.1
BANKS,5,3-class Buy/Hold/Sell,2,2018-01,105,38.1,37.1,Logistic,38.1,61.0,-22.9,10.9
BANKS,5,3-class Buy/Hold/Sell,3,2018-07,103,21.4,27.2,XGBoost,27.2,34.0,-6.8,24.6
BANKS,5,3-class Buy/Hold/Sell,4,2019-01,109,27.5,23.9,Logistic,27.5,43.1,-15.6,31.8
BANKS,5,3-class Buy/Hold/Sell,5,2019-07,118,39.8,38.1,Logistic,39.8,44.9,-5.1,49.3
BANKS,5,3-class Buy/Hold/Sell,6,2020-01,80,36.2,38.8,XGBoost,38.8,47.5,-8.7,40.4
BANKS,5,3-class Buy/Hold/Sell,7,2020-07,125,29.6,41.6,XGBoost,41.6,33.6,8.0,44.7
BANKS,5,3-class Buy/Hold/Sell,8,2021-01,111,40.5,23.4,Logistic,40.5,45.0,-4.5,58.7
BANKS,5,3-class Buy/Hold/Sell,9,2021-07,124,37.9,34.7,Logistic,37.9,48.4,-10.5,33.4
BANKS,5,3-class Buy/Hold/Sell,10,2022-01,94,43.6,48.9,XGBoost,48.9,38.3,10.6,54.3
BANKS,5,3-class Buy/Hold/Sell,11,2022-07,98,37.8,35.7,Logistic,37.8,33.7,4.1,46.3
BANKS,5,3-class Buy/Hold/Sell,12,2023-01,119,31.1,31.1,Logistic,31.1,35.3,-4.2,32.3
BANKS,5,3-class Buy/Hold/Sell,13,2023-07,123,36.6,34.1,Logistic,36.6,43.1,-6.5,29.0
BANKS,5,3-class Buy/Hold/Sell,14,2024-01,115,28.7,34.8,XGBoost,34.8,32.2,2.6,27.7
BANKS,5,3-class Buy/Hold/Sell,15,2024-07,125,53.6,47.2,Logistic,53.6,49.6,4.0,63.1
BANKS,5,3-class Buy/Hold/Sell,16,2025-01,114,36.0,41.2,XGBoost,41.2,32.5,8.8,42.7
BANKS,5,3-class Buy/Hold/Sell,17,2025-07,124,31.5,40.3,XGBoost,40.3,43.5,-3.2,39.4
BANKS,5,3-class Buy/Hold/Sell,18,2026-01,118,32.2,37.3,XGBoost,37.3,47.5,-10.2,22.1
BANKS,10,binary up/down,0,2017-01,95,50.5,53.7,XGBoost,53.7,55.8,-2.1,-1.1
BANKS,10,binary up/down,1,2017-07,113,51.3,61.1,XGBoost,61.1,61.9,-0.9,2.0
BANKS,10,binary up/down,2,2018-01,105,41.9,41.9,Logistic,41.9,39.0,2.9,34.0
BANKS,10,binary up/down,3,2018-07,103,38.8,48.5,XGBoost,48.5,38.8,9.7,16.3
BANKS,10,binary up/down,4,2019-01,109,33.0,46.8,XGBoost,46.8,56.9,-10.1,34.6
BANKS,10,binary up/down,5,2019-07,118,68.6,54.2,Logistic,68.6,70.3,-1.7,33.2
BANKS,10,binary up/down,6,2020-01,80,40.0,61.3,XGBoost,61.3,48.8,12.5,26.0
BANKS,10,binary up/down,7,2020-07,125,45.6,52.8,XGBoost,52.8,39.2,13.6,11.5
BANKS,10,binary up/down,8,2021-01,111,49.5,36.0,Logistic,49.5,55.0,-5.4,3.5
BANKS,10,binary up/down,9,2021-07,124,47.6,57.3,XGBoost,57.3,52.4,4.8,10.6
BANKS,10,binary up/down,10,2022-01,94,46.8,59.6,XGBoost,59.6,76.6,-17.0,-24.3
BANKS,10,binary up/down,11,2022-07,98,55.1,43.9,Logistic,55.1,58.2,-3.1,12.2
BANKS,10,binary up/down,12,2023-01,119,37.0,35.3,Logistic,37.0,55.5,-18.5,14.4
BANKS,10,binary up/down,13,2023-07,123,39.8,43.9,XGBoost,43.9,50.4,-6.5,12.4
BANKS,10,binary up/down,14,2024-01,115,60.0,53.9,Logistic,60.0,45.2,14.8,38.8
BANKS,10,binary up/down,15,2024-07,125,80.8,54.4,Logistic,80.8,80.8,0.0,0.8
BANKS,10,binary up/down,16,2025-01,114,53.5,61.4,XGBoost,61.4,57.9,3.5,1.7
BANKS,10,binary up/down,17,2025-07,124,57.3,54.0,Logistic,57.3,67.7,-10.5,-14.1
BANKS,10,binary up/down,18,2026-01,118,42.4,42.4,Logistic,42.4,47.5,-5.1,-5.7
BANKS,10,3-class Buy/Hold/Sell,0,2017-01,95,35.8,36.8,XGBoost,36.8,37.9,-1.1,18.7
BANKS,10,3-class Buy/Hold/Sell,1,2017-07,113,48.7,45.1,Logistic,48.7,46.0,2.7,29.5
BANKS,10,3-class Buy/Hold/Sell,2,2018-01,105,32.4,27.6,Logistic,32.4,63.8,-31.4,5.0
BANKS,10,3-class Buy/Hold/Sell,3,2018-07,103,24.3,36.9,XGBoost,36.9,26.2,10.7,26.1
BANKS,10,3-class Buy/Hold/Sell,4,2019-01,109,24.8,33.0,XGBoost,33.0,45.0,-11.9,27.4
BANKS,10,3-class Buy/Hold/Sell,5,2019-07,118,42.4,51.7,XGBoost,51.7,43.2,8.5,52.7
BANKS,10,3-class Buy/Hold/Sell,6,2020-01,80,38.8,40.0,XGBoost,40.0,37.5,2.5,39.5
BANKS,10,3-class Buy/Hold/Sell,7,2020-07,125,28.8,41.6,XGBoost,41.6,24.8,16.8,38.9
BANKS,10,3-class Buy/Hold/Sell,8,2021-01,111,38.7,27.9,Logistic,38.7,33.3,5.4,56.3
BANKS,10,3-class Buy/Hold/Sell,9,2021-07,124,33.9,33.9,Logistic,33.9,37.1,-3.2,30.4
BANKS,10,3-class Buy/Hold/Sell,10,2022-01,94,31.9,41.5,XGBoost,41.5,46.8,-5.3,42.6
BANKS,10,3-class Buy/Hold/Sell,11,2022-07,98,42.9,28.6,Logistic,42.9,31.6,11.2,47.4
BANKS,10,3-class Buy/Hold/Sell,12,2023-01,119,27.7,26.1,Logistic,27.7,50.4,-22.7,21.0
BANKS,10,3-class Buy/Hold/Sell,13,2023-07,123,36.6,36.6,Logistic,36.6,39.8,-3.3,29.8
BANKS,10,3-class Buy/Hold/Sell,14,2024-01,115,36.5,32.2,Logistic,36.5,35.7,0.9,24.4
BANKS,10,3-class Buy/Hold/Sell,15,2024-07,125,59.2,39.2,Logistic,59.2,65.6,-6.4,62.5
BANKS,10,3-class Buy/Hold/Sell,16,2025-01,114,36.0,35.1,Logistic,36.0,48.2,-12.3,-16.5
BANKS,10,3-class Buy/Hold/Sell,17,2025-07,124,41.1,44.4,XGBoost,44.4,57.3,-12.9,-24.4
BANKS,10,3-class Buy/Hold/Sell,18,2026-01,118,16.1,30.5,XGBoost,30.5,32.2,-1.7,-9.9
BANKS,22,binary up/down,0,2017-01,95,44.2,52.6,XGBoost,52.6,54.7,-2.1,-12.4
BANKS,22,binary up/down,1,2017-07,113,62.8,71.7,XGBoost,71.7,54.0,17.7,3.6
BANKS,22,binary up/down,2,2018-01,105,39.0,36.2,Logistic,39.0,45.7,-6.7,16.7
BANKS,22,binary up/down,3,2018-07,103,56.3,49.5,Logistic,56.3,56.3,0.0,32.4
BANKS,22,binary up/down,4,2019-01,109,57.8,48.6,Logistic,57.8,73.4,-15.6,30.9
BANKS,22,binary up/down,5,2019-07,118,61.0,46.6,Logistic,61.0,54.2,6.8,28.0
BANKS,22,binary up/down,6,2020-01,80,56.2,57.5,XGBoost,57.5,58.8,-1.3,1.9
BANKS,22,binary up/down,7,2020-07,125,36.0,41.6,XGBoost,41.6,57.6,-16.0,23.7
BANKS,22,binary up/down,8,2021-01,111,54.1,43.2,Logistic,54.1,54.1,0.0,9.2
BANKS,22,binary up/down,9,2021-07,124,42.7,46.8,XGBoost,46.8,56.5,-9.7,-8.5
BANKS,22,binary up/down,10,2022-01,94,45.7,54.3,XGBoost,54.3,78.7,-24.5,-37.5
BANKS,22,binary up/down,11,2022-07,98,43.9,49.0,XGBoost,49.0,37.8,11.2,12.9
BANKS,22,binary up/down,12,2023-01,119,35.3,31.1,Logistic,35.3,56.3,-21.0,19.0
BANKS,22,binary up/down,13,2023-07,123,43.9,52.8,XGBoost,52.8,52.0,0.8,9.9
BANKS,22,binary up/down,14,2024-01,115,53.0,67.8,XGBoost,67.8,60.9,7.0,-6.2
BANKS,22,binary up/down,15,2024-07,125,66.4,55.2,Logistic,66.4,80.8,-14.4,-21.1
BANKS,22,binary up/down,16,2025-01,114,59.6,42.1,Logistic,59.6,62.3,-2.6,-13.0
BANKS,22,binary up/down,17,2025-07,124,66.1,47.6,Logistic,66.1,73.4,-7.3,-17.3
BANKS,22,3-class Buy/Hold/Sell,0,2017-01,95,13.7,31.6,XGBoost,31.6,27.4,4.2,-20.4
BANKS,22,3-class Buy/Hold/Sell,1,2017-07,113,32.7,45.1,XGBoost,45.1,36.3,8.8,-11.3
BANKS,22,3-class Buy/Hold/Sell,2,2018-01,105,20.0,26.7,XGBoost,26.7,36.2,-9.5,16.1
BANKS,22,3-class Buy/Hold/Sell,3,2018-07,103,39.8,25.2,Logistic,39.8,36.9,2.9,27.0
BANKS,22,3-class Buy/Hold/Sell,4,2019-01,109,34.9,37.6,XGBoost,37.6,48.6,-11.0,29.3
BANKS,22,3-class Buy/Hold/Sell,5,2019-07,118,47.5,44.9,Logistic,47.5,27.1,20.3,61.3
BANKS,22,3-class Buy/Hold/Sell,6,2020-01,80,53.8,30.0,Logistic,53.8,45.0,8.7,70.4
BANKS,22,3-class Buy/Hold/Sell,7,2020-07,125,23.2,28.0,XGBoost,28.0,42.4,-14.4,15.4
BANKS,22,3-class Buy/Hold/Sell,8,2021-01,111,41.4,18.9,Logistic,41.4,17.1,24.3,51.9
BANKS,22,3-class Buy/Hold/Sell,9,2021-07,124,25.0,24.2,Logistic,25.0,39.5,-14.5,-18.8
BANKS,22,3-class Buy/Hold/Sell,10,2022-01,94,19.1,21.3,XGBoost,21.3,63.8,-42.6,-63.4
BANKS,22,3-class Buy/Hold/Sell,11,2022-07,98,37.8,44.9,XGBoost,44.9,33.7,11.2,14.7
BANKS,22,3-class Buy/Hold/Sell,12,2023-01,119,32.8,28.6,Logistic,32.8,47.1,-14.3,21.5
BANKS,22,3-class Buy/Hold/Sell,13,2023-07,123,36.6,35.8,Logistic,36.6,38.2,-1.6,-14.3
BANKS,22,3-class Buy/Hold/Sell,14,2024-01,115,34.8,38.3,XGBoost,38.3,47.8,-9.6,-33.4
BANKS,22,3-class Buy/Hold/Sell,15,2024-07,125,40.8,27.2,Logistic,40.8,76.0,-35.2,-35.9
BANKS,22,3-class Buy/Hold/Sell,16,2025-01,114,43.9,31.6,Logistic,43.9,51.8,-7.9,-20.5
BANKS,22,3-class Buy/Hold/Sell,17,2025-07,124,49.2,29.8,Logistic,49.2,61.3,-12.1,-27.0
FINANCE,1,binary up/down,0,2017-01,77,54.5,46.8,Logistic,54.5,57.1,-2.6,-1.9
FINANCE,1,binary up/down,1,2017-07,54,53.7,51.9,Logistic,53.7,51.9,1.9,11.6
FINANCE,1,binary up/down,2,2018-01,60,48.3,51.7,XGBoost,51.7,55.0,-3.3,16.3
FINANCE,1,binary up/down,3,2018-07,46,54.3,58.7,XGBoost,58.7,54.3,4.3,14.8
FINANCE,1,binary up/down,4,2019-01,47,53.2,61.7,XGBoost,61.7,57.4,4.3,5.0
FINANCE,1,binary up/down,5,2019-07,70,62.9,50.0,Logistic,62.9,44.3,18.6,27.1
FINANCE,1,binary up/down,6,2020-01,51,58.8,47.1,Logistic,58.8,51.0,7.8,2.2
FINANCE,1,binary up/down,7,2020-07,122,47.5,50.0,XGBoost,50.0,51.6,-1.6,9.5
FINANCE,1,binary up/down,8,2021-01,109,47.7,56.9,XGBoost,56.9,62.4,-5.5,26.9
FINANCE,1,binary up/down,9,2021-07,124,50.0,51.6,XGBoost,51.6,50.0,1.6,-7.2
FINANCE,1,binary up/down,10,2022-01,89,51.7,57.3,XGBoost,57.3,55.1,2.2,11.4
FINANCE,1,binary up/down,11,2022-07,91,52.7,48.4,Logistic,52.7,54.9,-2.2,2.7
FINANCE,1,binary up/down,12,2023-01,119,55.5,52.1,Logistic,55.5,62.2,-6.7,7.8
FINANCE,1,binary up/down,13,2023-07,123,46.3,59.3,XGBoost,59.3,52.8,6.5,1.4
FINANCE,1,binary up/down,14,2024-01,115,49.6,58.3,XGBoost,58.3,53.0,5.2,17.9
FINANCE,1,binary up/down,15,2024-07,125,62.4,60.0,Logistic,62.4,70.4,-8.0,38.4
FINANCE,1,binary up/down,16,2025-01,114,49.1,52.6,XGBoost,52.6,47.4,5.3,11.0
FINANCE,1,binary up/down,17,2025-07,124,56.5,57.3,XGBoost,57.3,55.6,1.6,12.6
FINANCE,1,binary up/down,18,2026-01,118,48.3,56.8,XGBoost,56.8,54.2,2.5,2.8
FINANCE,1,3-class Buy/Hold/Sell,0,2017-01,77,41.6,29.9,Logistic,41.6,46.8,-5.2,-2.6
FINANCE,1,3-class Buy/Hold/Sell,1,2017-07,54,37.0,33.3,Logistic,37.0,31.5,5.6,-2.2
FINANCE,1,3-class Buy/Hold/Sell,2,2018-01,60,36.7,35.0,Logistic,36.7,36.7,0.0,0.7
FINANCE,1,3-class Buy/Hold/Sell,3,2018-07,46,43.5,50.0,XGBoost,50.0,37.0,13.0,-3.5
FINANCE,1,3-class Buy/Hold/Sell,4,2019-01,47,38.3,44.7,XGBoost,44.7,42.6,2.1,9.8
FINANCE,1,3-class Buy/Hold/Sell,5,2019-07,70,40.0,40.0,Logistic,40.0,27.1,12.9,2.2
FINANCE,1,3-class Buy/Hold/Sell,6,2020-01,51,41.2,35.3,Logistic,41.2,39.2,2.0,5.8
FINANCE,1,3-class Buy/Hold/Sell,7,2020-07,122,37.7,43.4,XGBoost,43.4,32.8,10.7,-10.9
FINANCE,1,3-class Buy/Hold/Sell,8,2021-01,109,40.4,45.9,XGBoost,45.9,47.7,-1.8,-2.4
FINANCE,1,3-class Buy/Hold/Sell,9,2021-07,124,36.3,39.5,XGBoost,39.5,40.3,-0.8,-15.6
FINANCE,1,3-class Buy/Hold/Sell,10,2022-01,89,47.2,50.6,XGBoost,50.6,41.6,9.0,14.9
FINANCE,1,3-class Buy/Hold/Sell,11,2022-07,91,37.4,39.6,XGBoost,39.6,37.4,2.2,-7.5
FINANCE,1,3-class Buy/Hold/Sell,12,2023-01,119,39.5,37.8,Logistic,39.5,39.5,0.0,-7.6
FINANCE,1,3-class Buy/Hold/Sell,13,2023-07,123,38.2,37.4,Logistic,38.2,39.0,-0.8,-17.4
FINANCE,1,3-class Buy/Hold/Sell,14,2024-01,115,35.7,33.0,Logistic,35.7,37.4,-1.7,-10.9
FINANCE,1,3-class Buy/Hold/Sell,15,2024-07,125,38.4,39.2,XGBoost,39.2,40.8,-1.6,10.4
FINANCE,1,3-class Buy/Hold/Sell,16,2025-01,114,33.3,43.9,XGBoost,43.9,36.0,7.9,-4.4
FINANCE,1,3-class Buy/Hold/Sell,17,2025-07,124,48.4,51.6,XGBoost,51.6,48.4,3.2,4.6
FINANCE,1,3-class Buy/Hold/Sell,18,2026-01,118,43.2,40.7,Logistic,43.2,35.6,7.6,-15.4
FINANCE,5,binary up/down,0,2017-01,77,70.1,59.7,Logistic,70.1,79.2,-9.1,-5.9
FINANCE,5,binary up/down,1,2017-07,54,50.0,57.4,XGBoost,57.4,59.3,-1.9,10.0
FINANCE,5,binary up/down,2,2018-01,60,50.0,53.3,XGBoost,53.3,75.0,-21.7,22.7
FINANCE,5,binary up/down,3,2018-07,46,54.3,41.3,Logistic,54.3,54.3,0.0,-7.2
FINANCE,5,binary up/down,4,2019-01,47,40.4,59.6,XGBoost,59.6,57.4,2.1,1.7
FINANCE,5,binary up/down,5,2019-07,70,65.7,58.6,Logistic,65.7,77.1,-11.4,-18.8
FINANCE,5,binary up/down,6,2020-01,51,56.9,37.3,Logistic,56.9,66.7,-9.8,36.7
FINANCE,5,binary up/down,7,2020-07,122,47.5,51.6,XGBoost,51.6,54.9,-3.3,-20.0
FINANCE,5,binary up/down,8,2021-01,109,61.5,52.3,Logistic,61.5,66.1,-4.6,2.7
FINANCE,5,binary up/down,9,2021-07,124,51.6,50.8,Logistic,51.6,68.5,-16.9,-21.5
FINANCE,5,binary up/down,10,2022-01,89,51.7,57.3,XGBoost,57.3,58.4,-1.1,32.4
FINANCE,5,binary up/down,11,2022-07,91,46.2,50.5,XGBoost,50.5,50.5,0.0,-9.8
FINANCE,5,binary up/down,12,2023-01,119,52.9,46.2,Logistic,52.9,47.1,5.9,-4.6
FINANCE,5,binary up/down,13,2023-07,123,49.6,54.5,XGBoost,54.5,50.4,4.1,10.4
FINANCE,5,binary up/down,14,2024-01,115,47.8,58.3,XGBoost,58.3,53.0,5.2,-6.8
FINANCE,5,binary up/down,15,2024-07,125,51.2,59.2,XGBoost,59.2,60.0,-0.8,-2.9
FINANCE,5,binary up/down,16,2025-01,114,54.4,54.4,Logistic,54.4,57.9,-3.5,-12.6
FINANCE,5,binary up/down,17,2025-07,124,56.5,55.6,Logistic,56.5,51.6,4.8,9.0
FINANCE,5,binary up/down,18,2026-01,118,51.7,51.7,Logistic,51.7,52.5,-0.8,13.0
