group,horizon_days,date,prob_up,pred,actual,fwd_ret
BANKS,1,2017-09-27,0.5275066426820125,1,1,0.00453812212936433
BANKS,1,2017-09-28,0.5481456262378831,1,1,0.011621128636595701
BANKS,1,2017-09-29,0.5319172895449554,1,1,0.0058931568322939665
BANKS,1,2017-10-02,0.5991561149536068,1,1,0.022510610299335987
BANKS,1,2017-10-03,0.5506041332190235,1,1,0.01961751437964354
BANKS,1,2017-10-04,0.5078738994044304,1,1,0.007587248415201087
BANKS,1,2017-10-06,0.580461546320567,1,1,0.0021545662919779662
BANKS,1,2017-10-09,0.5488903038576792,1,1,0.02170685076983747
BANKS,1,2017-10-10,0.5256688143231755,1,1,0.027748339164551883
BANKS,1,2017-10-11,0.5316957692300301,1,1,0.004207150028807449
BANKS,1,2017-10-12,0.6121881795270283,1,0,-0.010132924876075977
BANKS,1,2017-10-13,0.5977538766696343,1,0,-0.02129775019828728
BANKS,1,2017-10-16,0.6237649793399875,1,0,-0.009161978272704041
BANKS,1,2017-10-17,0.6494414693887617,1,0,-0.0023813912654101488
BANKS,1,2017-10-19,0.6214564056509712,1,0,-0.005556385291484056
BANKS,1,2017-10-20,0.6358870327370949,1,0,-0.018687147093493728
BANKS,1,2017-10-23,0.5968788638615524,1,1,0.006821790830336738
BANKS,1,2017-10-24,0.5630199774870953,1,1,0.0259416379950006
BANKS,1,2017-10-25,0.47977978839648017,0,1,0.015183164402541971
BANKS,1,2017-10-26,0.4564638422239329,0,0,-0.0112219697546867
BANKS,1,2017-10-27,0.47599373934417183,0,1,0.011533377743830009
BANKS,1,2017-10-30,0.5108314611360976,1,1,0.011183759933458548
BANKS,1,2017-10-31,0.5088784627744621,1,0,-0.0034582490062994298
BANKS,1,2017-11-01,0.5141302292109118,1,0,-0.0011567296274959116
BANKS,1,2017-11-02,0.4979081563462858,0,0,-0.009136805078404087
BANKS,1,2017-11-06,0.5113424783747162,1,0,-0.005398201507981648
BANKS,1,2017-11-07,0.5048384786159898,1,1,0.006588882798055584
BANKS,1,2017-11-08,0.4775361911538976,0,0,-0.008800782862611323
BANKS,1,2017-11-09,0.42441935087732025,0,0,-0.007377371470154159
BANKS,1,2017-11-10,0.4783695598388041,0,0,-0.009465079215358774
BANKS,1,2017-11-13,0.4285072237498703,0,0,-0.00813646451531247
BANKS,1,2017-11-16,0.36957874248172873,0,1,0.021380847209351517
BANKS,1,2017-11-17,0.4863829221688362,0,0,-0.002364066826326283
BANKS,1,2017-11-20,0.3951506701635357,0,0,-0.014748613286042267
BANKS,1,2017-11-22,0.4714446767887099,0,1,0.0023743855790197
BANKS,1,2017-11-23,0.43962161873139144,0,1,4.566630586455567e-05
BANKS,1,2017-11-24,0.3725102010484553,0,0,-0.001844878827466867
BANKS,1,2017-11-27,0.4763331401043253,0,0,-0.0070773420713552415
