spec,company,role,lag,coef,se,t,p,r2,n
D_pure_nbfi,CFIN,G2(Finance(NBFI)),1,-0.4738,0.8758,-0.541,0.5885,0.0032,169
D_pure_nbfi,CFIN,G2(Finance(NBFI)),2,-0.23,0.4605,-0.4995,0.6174,0.0008,168
D_pure_nbfi,CFIN,G2(Finance(NBFI)),3,-0.8339,0.5343,-1.5607,0.1186,0.01,167
D_pure_nbfi,JKH,Control,0,-0.0949,0.5551,-0.171,0.8642,0.0001,169
D_pure_nbfi,JKH,Control,1,0.0839,0.6416,0.1308,0.8959,0.0001,169
D_pure_nbfi,JKH,Control,2,-0.4913,0.443,-1.1092,0.2673,0.0037,168
D_pure_nbfi,JKH,Control,3,-1.1011,0.414,-2.6597,0.0078,0.0186,167
D_pure_nbfi,DIAL,Control,0,-0.1362,0.633,-0.2152,0.8296,0.0002,169
D_pure_nbfi,DIAL,Control,1,-0.1533,0.6048,-0.2535,0.7999,0.0002,169
D_pure_nbfi,DIAL,Control,2,-0.5348,0.6382,-0.8379,0.4021,0.0024,168
D_pure_nbfi,DIAL,Control,3,-1.1317,1.0787,-1.0491,0.2941,0.0108,167
D_pure_nbfi,LOLC,Control,0,3.8206,1.16,3.2937,0.001,0.0141,169
D_pure_nbfi,LOLC,Control,1,0.6265,1.7984,0.3484,0.7276,0.0004,169
D_pure_nbfi,LOLC,Control,2,-0.4803,1.6301,-0.2946,0.7683,0.0002,168
D_pure_nbfi,LOLC,Control,3,2.064,0.9019,2.2884,0.0221,0.0041,167
