date,ticker,open,high,low,close,volume
2019-10-22,MELS.N0000,42.900002,43.5,42.799999,43.5,2010
2019-10-23,MELS.N0000,43,43.5,43,43.5,58140
2019-10-24,MELS.N0000,43.5,44,43.5,43.900002,3887
2019-10-25,MELS.N0000,44,44,43.900002,44,3935
2019-10-28,MELS.N0000,43.900002,43.900002,43.900002,43.900002,450
2019-10-29,MELS.N0000,44,44,44,44,530
2019-10-30,MELS.N0000,44,44,43.400002,43.400002,16071
2019-10-31,MELS.N0000,44,45,44,45,20138
2019-11-01,MELS.N0000,44.200001,45,44.200001,45,3253
2019-11-05,MELS.N0000,44.299999,45,44.299999,45,1400
2019-11-06,MELS.N0000,44.299999,44.299999,44.200001,44.200001,2000
2019-11-07,MELS.N0000,44.200001,44.200001,44,44.200001,3330
2019-11-13,MELS.N0000,44,44,44,44,60715
2019-11-14,MELS.N0000,43.700001,44,43.700001,44,27019
2019-11-15,MELS.N0000,44,44,44,44,1
2019-11-18,MELS.N0000,44.5,45,43.799999,44.5,21744
2019-11-19,MELS.N0000,45,46.599998,44,45,558215
2019-11-20,MELS.N0000,45.799999,47,45.700001,45.900002,293762
2019-11-21,MELS.N0000,46,46,44.900002,45,504909
2019-11-22,MELS.N0000,45,45,44.900002,45,494351
2019-11-25,MELS.N0000,45.099998,46.200001,45,45.5,154350
2019-11-26,MELS.N0000,46,46,44,45,89670
2019-11-27,MELS.N0000,45.900002,45.900002,44.900002,44.900002,578220
2019-11-28,MELS.N0000,45.299999,46,44,44.900002,179720
2019-11-29,MELS.N0000,44.900002,45,44.599998,44.599998,201100
2019-12-02,MELS.N0000,44.700001,45,44,44.099998,48311
2019-12-03,MELS.N0000,45,45,43.900002,43.900002,36619
2019-12-04,MELS.N0000,43.900002,43.900002,43,43,317895
2019-12-05,MELS.N0000,43.900002,44.700001,42.900002,42.900002,67510
2019-12-06,MELS.N0000,43,44,43,43.5,2065
2019-12-10,MELS.N0000,42.900002,43.900002,42.200001,43.5,12832
2019-12-12,MELS.N0000,43.5,43.5,42.599998,43,2000
2019-12-13,MELS.N0000,43,43,42.5,42.5,15161
2019-12-16,MELS.N0000,42.799999,42.799999,41,42.400002,17608
2019-12-17,MELS.N0000,42.400002,42.400002,41.599998,42.400002,451
2019-12-18,MELS.N0000,42.799999,42.799999,42,42.799999,10191
2019-12-19,MELS.N0000,42.799999,42.799999,41.200001,42.700001,5480
2019-12-24,MELS.N0000,44,44,42.900002,43.900002,323
2019-12-26,MELS.N0000,43.900002,43.900002,43.900002,43.900002,116
2019-12-27,MELS.N0000,43.900002,43.900002,42.700001,43.900002,659
2019-12-30,MELS.N0000,42.700001,43.900002,42.700001,43.799999,1763
2019-12-31,MELS.N0000,43,43.5,41,43.5,37373
2020-01-02,MELS.N0000,43.5,43.799999,42,43.799999,3700
2020-01-07,MELS.N0000,41.5,41.599998,41,41.5,5697
2020-01-08,MELS.N0000,41,41,40,40,179467
2020-01-09,MELS.N0000,40,42,39.900002,40,88600
2020-01-13,MELS.N0000,40,41.400002,39.799999,40,5994
2020-01-14,MELS.N0000,40,40.099998,40,40,3025
2020-01-16,MELS.N0000,40,40.299999,39.5,40,5005
2020-01-17,MELS.N0000,39.599998,39.599998,39.200001,39.5,46951
2020-01-20,MELS.N0000,39.5,39.5,39,39,31052
2020-01-21,MELS.N0000,39.099998,39.099998,39,39.099998,289
2020-01-22,MELS.N0000,42,42,40,40,53318
2020-01-24,MELS.N0000,40,40.099998,39.5,39.599998,144247
2020-01-28,MELS.N0000,39.400002,40,38.599998,40,45032
2020-01-29,MELS.N0000,39.900002,39.900002,39.599998,39.599998,108
2020-01-30,MELS.N0000,39.5,39.900002,39,39,1446
2020-01-31,MELS.N0000,39,39.900002,38.099998,38.099998,13650
2020-02-03,MELS.N0000,39.900002,39.900002,37.900002,38,30924
2020-02-05,MELS.N0000,38,38.5,38,38.5,13525
2020-02-07,MELS.N0000,38.599998,40,37.099998,37.099998,20500
2020-02-10,MELS.N0000,37.5,39,37.5,39,2
2020-02-11,MELS.N0000,38,38,37.299999,37.299999,85195
2020-02-12,MELS.N0000,37.400002,39,37.299999,38,2960
2020-02-13,MELS.N0000,38,38,37,37,4471
2020-02-14,MELS.N0000,37.5,37.900002,36.900002,37.900002,4984
2020-02-18,MELS.N0000,37.599998,37.799999,37.5,37.5,867
2020-02-19,MELS.N0000,37.5,37.5,36.5,36.5,28929
2020-02-20,MELS.N0000,36.799999,37,36,36,2242341
2020-02-25,MELS.N0000,36.900002,36.900002,36,36.099998,5453
2020-02-26,MELS.N0000,36.099998,36.099998,35.200001,35.200001,20254
2020-02-27,MELS.N0000,35.200001,35.799999,35.200001,35.799999,2654
2020-02-28,MELS.N0000,35.799999,36,34.900002,35,42833
2020-03-02,MELS.N0000,35,35,33,34,100495
2020-03-03,MELS.N0000,34.299999,34.299999,33.400002,33.799999,117054
2020-03-04,MELS.N0000,33.400002,33.400002,33.099998,33.400002,236485
2020-03-05,MELS.N0000,33.299999,33.299999,32.700001,33,255462
2020-03-06,MELS.N0000,32.799999,32.799999,30,30.200001,47194
2020-03-10,MELS.N0000,30.1,30.1,29.5,29.9,29846
2020-03-11,MELS.N0000,29.9,34,29.9,33.5,18072
2020-03-12,MELS.N0000,30.5,30.5,28.299999,28.5,4199
2020-03-13,MELS.N0000,28.5,28.5,26.5,26.799999,74342
2020-03-19,MELS.N0000,25,26,23.5,23.5,34987
2020-05-12,MELS.N0000,20.5,20.5,16,20,79423
2020-05-13,MELS.N0000,20,21.5,19.799999,20.9,933075
2020-05-14,MELS.N0000,20.9,22.4,20,21.9,185341
2020-05-15,MELS.N0000,22,23.9,21.700001,23.9,45176
2020-05-18,MELS.N0000,22,26,22,26,47207
2020-05-19,MELS.N0000,27.299999,30,26,28.5,51349
2020-05-20,MELS.N0000,28.9,28.9,25.4,27,37274
2020-05-21,MELS.N0000,27,28.9,26.6,26.6,31185
2020-05-22,MELS.N0000,27,28,25.5,27,53116
2020-05-26,MELS.N0000,27,27.5,25.799999,27.4,53027
2020-05-27,MELS.N0000,27.799999,28,27.6,28,135535
2020-05-28,MELS.N0000,28,28.5,28,28,9601
2020-05-29,MELS.N0000,28.1,28.1,27.299999,28,4910
2020-06-01,MELS.N0000,28.200001,28.200001,27,27.299999,21245
2020-06-02,MELS.N0000,27.299999,28,27,27.299999,47269
2020-06-03,MELS.N0000,27.200001,27.200001,25,26,587245
2020-06-04,MELS.N0000,26.5,26.6,26.5,26.5,15000
2020-06-08,MELS.N0000,26.700001,28.299999,26.299999,27.6,582849
2020-06-09,MELS.N0000,27.9,28,27.5,27.9,57592
2020-06-10,MELS.N0000,27.9,27.9,27,27.700001,73367
2020-06-11,MELS.N0000,27.700001,28.4,27.700001,28.4,63864
2020-06-12,MELS.N0000,28.299999,28.299999,27.5,28,56431
2020-06-15,MELS.N0000,28,28.4,28,28.299999,1804
2020-06-16,MELS.N0000,28.4,28.4,28,28,24067
2020-06-17,MELS.N0000,28.4,28.5,28,28.5,70845
2020-06-18,MELS.N0000,28.299999,29.700001,28.1,29,63734
2020-06-19,MELS.N0000,29.5,29.5,28.4,28.9,124576
2020-06-22,MELS.N0000,29,31,29,30.299999,80746
2020-06-23,MELS.N0000,30,31.5,30,31.5,79890
2020-06-24,MELS.N0000,31.4,32,30.799999,31,92969
2020-06-25,MELS.N0000,31,31.5,30.9,31,85336
2020-06-26,MELS.N0000,31,31,30.5,31,23760
2020-06-29,MELS.N0000,31,32,30.9,30.9,23321
2020-06-30,MELS.N0000,30.9,31,30.5,31,133129
2020-07-01,MELS.N0000,31.4,31.4,30.799999,31,124436
2020-07-02,MELS.N0000,30.6,30.6,30.1,30.1,49503
2020-07-03,MELS.N0000,30.200001,30.200001,29.5,29.5,25202
2020-07-06,MELS.N0000,29.5,31,29.5,31,10200
2020-07-07,MELS.N0000,30.1,31,29.9,30,70027
2020-07-08,MELS.N0000,31,31,30,30.700001,2883
2020-07-09,MELS.N0000,30.9,30.9,30.6,30.6,211
2020-07-10,MELS.N0000,30.4,30.5,29.299999,29.700001,89261
2020-07-13,MELS.N0000,28.5,29,26.700001,28,64017
2020-07-14,MELS.N0000,27.700001,28.6,27.5,28.1,76151
2020-07-15,MELS.N0000,28,28.4,28,28.4,9005
2020-07-16,MELS.N0000,28.9,28.9,28.5,28.799999,12219
2020-07-17,MELS.N0000,29.299999,29.299999,28.9,29,4894
2020-07-20,MELS.N0000,29.700001,29.799999,29,29,41071
2020-07-21,MELS.N0000,29,29,28.5,29,3358
2020-07-22,MELS.N0000,29,29,28.700001,28.9,8608
2020-07-23,MELS.N0000,29,29,28.6,28.700001,52428
2020-07-24,MELS.N0000,28.6,28.6,27.5,27.5,575593
2020-07-27,MELS.N0000,28.5,29,27.6,28.5,55220
2020-07-28,MELS.N0000,28.5,28.9,28.200001,28.5,126936
2020-07-29,MELS.N0000,28.4,28.5,28.200001,28.4,12265
2020-07-30,MELS.N0000,28.9,28.9,28.4,28.4,24896
2020-07-31,MELS.N0000,28.5,28.5,28.200001,28.299999,62678
2020-08-04,MELS.N0000,28.4,28.4,28,28,145418
2020-08-06,MELS.N0000,27.5,27.6,27.299999,27.4,156713
2020-08-07,MELS.N0000,28,28,27.299999,27.4,300628
2020-08-10,MELS.N0000,27.700001,27.799999,27.200001,27.4,57699
2020-08-11,MELS.N0000,27.9,27.9,27.299999,27.299999,104050
2020-08-12,MELS.N0000,27.9,27.9,27.299999,27.5,99117
2020-08-13,MELS.N0000,27.5,27.9,27.4,27.5,67085
2020-08-14,MELS.N0000,27.5,27.5,27.1,27.1,93382
2020-08-17,MELS.N0000,27.9,27.9,27.200001,27.4,66977
2020-08-18,MELS.N0000,27.299999,27.9,26.9,26.9,157526
2020-08-19,MELS.N0000,27,27.9,26.700001,27.9,46759
2020-08-20,MELS.N0000,27.5,28.1,27.200001,27.5,197556
2020-08-21,MELS.N0000,28,28.200001,27.5,28,122973
2020-08-24,MELS.N0000,28,28.6,27.799999,27.9,1562932
2020-08-25,MELS.N0000,28.1,29,27.9,28.6,11934830
2020-08-26,MELS.N0000,29,29.200001,28.5,28.9,1547547
2020-08-27,MELS.N0000,29,29,28.4,28.6,850408
2020-08-28,MELS.N0000,28.6,28.799999,27.9,28,1753998
2020-08-31,MELS.N0000,28,28,27.4,27.5,579019
2020-09-02,MELS.N0000,27.9,28,27.5,27.799999,432501
2020-09-03,MELS.N0000,28.4,28.4,27.9,28.299999,117992
2020-09-04,MELS.N0000,28,28.299999,27.700001,28,284067
2020-09-07,MELS.N0000,28,28.200001,27.6,27.9,270126
2020-09-08,MELS.N0000,28,28,27.6,27.9,74292
2020-09-09,MELS.N0000,28,28.200001,27.799999,28,278783
2020-09-10,MELS.N0000,28.200001,29,28.200001,29,1357103
2020-09-11,MELS.N0000,29,29.5,29,29.5,1489931
2020-09-14,MELS.N0000,29.6,32.5,29.6,32.099998,3874704
2020-09-15,MELS.N0000,31.5,31.5,30.6,31.299999,2293745
2020-09-16,MELS.N0000,31.5,34.099998,31.299999,34,4699150
