date,s_vader,s_lm,n_articles,neg_share_vader,neg_share_lm
2016-10-02,-0.22926666666666665,-0.3333333333333333,3,0.3333333333333333,0.3333333333333333
2016-10-03,-0.015833333333333328,-0.3666666666666667,6,0.5,0.5
2016-10-04,0.022937500000000006,0.4,8,0.375,0.0
2016-10-05,0.00865555555555554,0.02395382395382395,9,0.5555555555555556,0.3333333333333333
2016-10-06,0.04025384615384616,-0.2948717948717948,13,0.46153846153846156,0.6153846153846154
2016-10-07,0.0581875,0.1875,8,0.25,0.125
2016-10-08,-0.324325,-0.3,4,0.75,0.75
2016-10-09,0.11069999999999998,-0.018518518518518528,3,0.3333333333333333,0.3333333333333333
2016-10-10,0.4064666666666667,-0.6666666666666666,3,0.0,0.6666666666666666
2016-10-11,0.598909090909091,0.1515151515151515,11,0.09090909090909091,0.18181818181818182
2016-10-12,0.3107857142857143,0.2857142857142857,7,0.14285714285714285,0.14285714285714285
2016-10-13,0.11166363636363635,0.19696969696969696,11,0.36363636363636365,0.18181818181818182
2016-10-14,0.5054399999999999,0.14,5,0.2,0.4
2016-10-15,0.34578000000000003,0.043333333333333356,5,0.4,0.6
2016-10-16,0.42373333333333335,0.0,3,0.0,0.3333333333333333
2016-10-17,-0.15062,-0.2,5,0.6,0.4
2016-10-18,-0.6085166666666667,-0.2972222222222222,6,1.0,0.6666666666666666
2016-10-19,0.38144,0.3333333333333333,5,0.2,0.0
2016-10-20,0.12746,0.4,5,0.6,0.0
2016-10-21,-0.07280714285714285,0.0,14,0.5714285714285714,0.14285714285714285
2016-10-22,-0.39282,-0.6,5,0.8,0.8
2016-10-23,-0.13566000000000003,-0.019999999999999997,5,0.6,0.2
2016-10-24,-0.05949999999999999,0.3386243386243386,6,0.3333333333333333,0.0
2016-10-25,-0.33628749999999996,-0.32916666666666666,8,0.625,0.5
2016-10-26,-0.3357428571428572,-0.038095238095238106,7,0.7142857142857143,0.2857142857142857
2016-10-27,0.06492857142857143,0.0,7,0.42857142857142855,0.2857142857142857
2016-10-28,0.3200083333333333,0.011574074074074075,12,0.08333333333333333,0.16666666666666666
2016-10-29,0.11175714285714286,0.15714285714285717,14,0.42857142857142855,0.07142857142857142
