date,policy_rate,sdfr,slfr,tb_3m,tb_12m,awdr,awpr,awlr,spread
2009-04-30,9.0,9.0,11.75,12.65,14.05,11.52,18.9,19.73,7.379999999999999
2009-05-31,9.0,9.0,11.5,12.04,13.4,11.43,17.75,19.73,6.32
2009-06-30,8.5,8.5,11.0,11.41,12.34,11.12,16.2,19.55,5.08
2009-07-31,8.5,8.5,11.0,10.64,11.97,10.98,15.0,19.55,4.02
2009-08-31,8.5,8.5,11.0,10.57,11.98,10.84,14.12,19.55,3.2799999999999994
2009-09-30,8.0,8.0,10.5,9.7,11.17,10.34,13.1,19.18,2.76
2009-10-31,8.0,8.0,10.5,8.5,9.88,9.76,12.64,19.18,2.880000000000001
2009-11-30,7.5,7.5,9.75,7.25,9.17,8.51,11.79,19.18,3.2799999999999994
2009-12-31,7.5,7.5,9.75,7.73,9.33,8.01,11.12,17.41,3.1099999999999994
2010-01-31,7.5,7.5,9.75,7.95,9.46,7.73,10.99,17.41,3.26
2010-02-28,7.5,7.5,9.75,8.26,9.47,7.4,10.83,17.41,3.4299999999999997
2010-03-31,7.5,7.5,9.75,8.52,9.47,7.22,10.54,16.89,3.3199999999999994
2010-04-30,7.5,7.5,9.75,8.4,9.4,7.13,10.66,16.89,3.5300000000000002
2010-05-31,7.5,7.5,9.75,8.1,9.26,7.05,10.57,16.89,3.5200000000000005
2010-06-30,7.5,7.5,9.75,8.07,9.29,7.0,10.47,16.08,3.4700000000000006
2010-07-31,7.25,7.25,9.5,7.9,9.0,6.92,10.14,16.08,3.2200000000000006
2010-08-31,7.25,7.25,9.0,7.13,8.08,6.86,10.13,16.08,3.2700000000000005
2010-09-30,7.25,7.25,9.0,,7.1,6.58,9.98,15.35,3.4000000000000004
2010-10-31,7.25,7.25,9.0,7.13,7.37,6.43,9.66,15.35,3.2300000000000004
2010-11-30,7.25,7.25,9.0,7.28,7.55,6.24,9.37,15.35,3.129999999999999
2010-12-31,7.25,7.25,9.0,7.24,7.55,6.23,9.27,14.8,3.039999999999999
2011-01-31,7.0,7.0,8.5,7.01,7.33,6.21,9.12,14.25,2.9099999999999993
2011-02-28,7.0,7.0,8.5,6.97,7.33,6.2,9.24,14.21,3.04
2011-03-31,7.0,7.0,8.5,6.98,7.3,6.2,9.15,14.11,2.95
2011-04-30,7.0,7.0,8.5,7.04,7.34,6.22,9.17,13.71,2.95
2011-05-31,7.0,7.0,8.5,7.09,7.35,6.3,9.21,13.71,2.910000000000001
2011-06-30,7.0,7.0,8.5,7.12,7.35,6.31,9.28,13.72,2.9699999999999998
2011-07-31,7.0,7.0,8.5,7.11,7.25,6.35,9.33,13.74,2.9800000000000004
2011-08-31,7.0,7.0,8.5,7.11,7.25,6.4,9.43,13.7,3.0299999999999994
2011-09-30,7.0,7.0,8.5,7.15,7.31,6.48,9.36,13.62,2.879999999999999
2011-10-31,7.0,7.0,8.5,7.29,7.44,6.57,9.33,13.6,2.76
2011-11-30,7.0,7.0,8.5,8.2,8.99,6.72,9.84,13.47,3.12
2011-12-31,7.0,7.0,8.5,8.68,9.31,7.24,10.49,13.44,3.25
2012-01-31,7.0,7.0,8.5,8.71,9.3,7.35,11.41,13.59,4.0600000000000005
2012-02-29,7.5,7.5,9.0,9.94,10.3,7.55,11.84,13.84,4.29
2012-03-31,7.5,7.5,9.0,11.06,11.32,7.88,12.42,14.09,4.54
2012-04-30,7.75,7.75,9.75,12.05,12.16,8.33,12.71,14.36,4.380000000000001
2012-05-31,7.75,7.75,9.75,12.29,12.6,8.28,13.32,14.59,5.040000000000001
2012-06-30,7.75,7.75,9.75,12.61,12.88,8.38,13.6,14.88,5.219999999999999
2012-07-31,7.75,7.75,9.75,12.87,13.15,8.7,13.75,15.02,5.050000000000001
2012-08-31,7.75,7.75,9.75,13.07,13.31,8.95,13.76,15.14,4.8100000000000005
2012-09-30,7.75,7.75,9.75,12.57,13.02,9.22,14.08,15.38,4.859999999999999
2012-10-31,7.75,7.75,9.75,11.97,12.56,9.46,13.97,15.57,4.51
2012-11-30,7.75,7.75,9.75,12.09,12.85,9.8,14.23,15.74,4.43
2012-12-31,7.5,7.5,9.5,10.0,11.69,10.1,14.29,15.98,4.1899999999999995
2013-01-31,7.5,7.5,9.5,9.47,11.11,10.38,14.14,16.12,3.76
2013-02-28,7.5,7.5,9.5,9.09,11.1,10.56,14.38,16.21,3.8200000000000003
2013-03-31,7.5,7.5,9.5,9.26,11.35,10.69,13.86,16.36,3.17
2013-04-30,7.5,7.5,9.5,9.23,11.34,10.7,13.58,16.45,2.880000000000001
2013-05-31,7.0,7.0,9.0,8.73,10.86,10.74,13.11,16.25,2.369999999999999
2013-06-30,7.0,7.0,9.0,8.66,10.66,10.56,12.47,16.14,1.9100000000000001
2013-07-31,7.0,7.0,9.0,8.63,10.56,10.43,11.84,15.93,1.4100000000000001
2013-08-31,7.0,7.0,9.0,8.61,10.56,10.1,11.86,15.77,1.7599999999999998
2013-09-30,7.0,7.0,9.0,8.6,10.57,9.93,11.84,15.71,1.9100000000000001
2013-10-31,6.5,6.5,8.5,8.56,10.02,9.79,11.45,15.52,1.6600000000000001
2013-11-30,6.5,6.5,8.5,8.06,9.69,9.52,10.95,15.37,1.4299999999999997
2013-12-31,6.5,6.5,8.5,7.54,8.29,9.37,9.96,15.18,0.5900000000000016
2014-01-31,6.5,6.5,8.0,6.82,7.14,9.14,9.65,14.83,0.5099999999999998
2014-02-28,6.5,6.5,8.0,6.72,7.07,8.83,9.4,14.71,0.5700000000000003
2014-03-31,6.5,6.5,8.0,6.65,7.05,8.45,8.81,14.44,0.3600000000000012
2014-04-30,6.5,6.5,8.0,6.58,7.02,8.06,8.65,14.18,0.5899999999999999
2014-05-31,6.5,6.5,8.0,6.56,7.02,7.74,8.38,14.01,0.6400000000000006
2014-06-30,6.5,6.5,8.0,6.51,6.99,7.4,8.03,13.83,0.629999999999999
2014-07-31,6.5,6.5,8.0,6.43,6.68,7.16,7.64,13.53,0.47999999999999954
2014-08-31,6.5,6.5,8.0,6.19,6.3,7.02,7.28,13.29,0.2600000000000007
2014-09-30,6.5,6.5,8.0,6.15,5.89,6.83,6.93,12.98,0.09999999999999964
2014-10-31,6.5,6.5,8.0,6.15,6.0,6.72,6.44,12.57,-0.27999999999999936
2014-11-30,6.5,6.5,8.0,6.15,6.0,6.42,6.49,12.29,0.07000000000000028
2014-12-31,6.5,6.5,8.0,5.74,6.01,6.2,6.35,11.91,0.14999999999999947
2015-01-31,6.5,6.5,8.0,5.8,6.05,5.94,6.36,11.68,0.41999999999999993
2015-02-28,6.5,6.5,8.0,5.98,6.13,5.9,6.45,11.62,0.5499999999999998
2015-03-31,6.5,6.5,8.0,6.55,6.76,5.83,6.9,11.5,1.0700000000000003
2015-04-30,6.0,6.0,7.5,6.15,6.39,5.83,7.16,11.53,1.33
2015-05-31,6.0,6.0,7.5,6.07,6.29,5.95,7.05,11.39,1.0999999999999996
2015-06-30,6.0,6.0,7.5,6.11,6.28,6.02,7.0,11.25,0.9800000000000004
2015-07-31,6.0,6.0,7.5,6.28,6.48,6.0,6.91,11.17,0.9100000000000001
2015-08-31,6.0,6.0,7.5,6.53,6.97,6.01,6.82,11.08,0.8100000000000005
2015-09-30,6.0,6.0,7.5,6.78,7.18,6.0,6.94,11.03,0.9400000000000004
2015-10-31,6.0,6.0,7.5,6.61,7.06,6.05,7.18,11.0,1.13
2015-11-30,6.0,6.0,7.5,6.44,6.92,6.11,7.32,10.96,1.21
2015-12-31,6.0,6.0,7.5,6.45,7.3,6.2,7.4,11.0,1.2000000000000002
2016-01-31,6.0,6.0,7.5,6.78,7.8,6.26,7.76,11.15,1.5
2016-02-29,6.5,6.5,8.0,7.14,8.5,6.33,8.28,11.3,1.9499999999999993
2016-03-31,6.5,6.5,8.0,8.9,10.64,6.44,8.87,11.45,2.429999999999999
2016-04-30,6.5,6.5,8.0,8.45,10.17,6.58,9.55,11.66,2.9700000000000006
2016-05-31,6.5,6.5,8.0,8.71,10.48,6.72,10.1,11.89,3.38
2016-06-30,6.5,6.5,8.0,8.88,10.55,6.87,10.48,12.09,3.6100000000000003
2016-07-31,7.0,7.0,8.5,8.8,10.48,7.1,10.87,12.35,3.7699999999999996
2016-08-31,7.0,7.0,8.5,9.03,10.73,7.32,11.76,12.54,4.4399999999999995
2016-09-30,7.0,7.0,8.5,8.55,10.11,7.56,12.29,12.88,4.7299999999999995
2016-10-31,7.0,7.0,8.5,8.6,10.24,7.79,12.25,13.08,4.46
2016-11-30,7.0,7.0,8.5,8.6,10.1,8.0,11.98,13.11,3.9800000000000004
2016-12-31,7.0,7.0,8.5,8.72,10.17,8.17,11.73,13.2,3.5600000000000005
2017-01-31,7.0,7.0,8.5,9.03,10.37,8.42,11.48,13.28,3.0600000000000005
2017-02-28,7.0,7.0,8.5,9.32,10.58,8.66,11.55,13.29,2.8900000000000006
2017-03-31,7.25,7.25,8.75,9.63,10.98,8.81,11.56,13.4,2.75
2017-04-30,7.25,7.25,8.75,9.73,11.02,8.89,11.74,13.52,2.8499999999999996
2017-05-31,7.25,7.25,8.75,9.61,10.71,8.99,11.67,13.57,2.6799999999999997
2017-06-30,7.25,7.25,8.75,9.6,10.47,9.13,11.84,13.73,2.709999999999999
2017-07-31,7.25,7.25,8.75,9.44,9.99,9.19,11.88,13.83,2.6900000000000013
2017-08-31,7.25,7.25,8.75,8.87,9.67,9.21,11.67,13.9,2.459999999999999
2017-09-30,7.25,7.25,8.75,8.71,9.1,9.25,11.42,13.83,2.17
2017-10-31,7.25,7.25,8.75,8.75,9.48,9.22,11.3,13.89,2.08
2017-11-30,7.25,7.25,8.75,8.2,9.44,9.19,11.4,13.89,2.210000000000001
2017-12-31,7.25,7.25,8.75,7.69,8.9,9.07,11.33,13.88,2.26
2018-01-31,7.25,7.25,8.75,,8.9,9.08,11.29,14.06,2.209999999999999
2018-02-28,7.25,7.25,8.75,8.24,9.59,9.05,11.27,14.03,2.219999999999999
2018-03-31,7.25,7.25,8.75,8.17,9.69,9.0,11.1,14.04,2.0999999999999996
