horizon_days,fold,test_from,ticker,n_test,own_baseline_%,acc_LSTM_%,edge_LSTM_pp,acc_GRU_%,edge_GRU_pp,acc_Logistic(flat)_%,edge_Logistic(flat)_pp
1,6,2025-01,COMB,238,45.4,42.4,-2.9,41.2,-4.2,43.3,-2.1
1,6,2025-01,HNB,238,44.1,47.1,2.9,45.4,1.3,39.9,-4.2
1,6,2025-01,LFIN,238,36.1,45.0,8.8,45.0,8.8,47.9,11.8
1,6,2025-01,LOFC,238,41.2,44.5,3.4,44.5,3.4,30.7,-10.5
1,6,2025-01,LOLC,238,35.7,34.5,-1.3,36.6,0.8,37.8,2.1
1,6,2025-01,SAMP,238,39.9,41.6,1.7,41.2,1.3,35.7,-4.2
5,0,2019-01,CFIN,199,35.2,39.7,4.5,33.2,-2.0,42.2,7.0
5,0,2019-01,COMB,238,41.2,38.2,-2.9,38.7,-2.5,31.9,-9.2
5,0,2019-01,HNB,229,51.5,41.0,-10.5,39.3,-12.2,37.6,-14.0
5,0,2019-01,LFIN,191,38.2,34.0,-4.2,40.3,2.1,36.6,-1.6
5,0,2019-01,LOFC,216,35.6,46.8,11.1,47.7,12.0,43.1,7.4
5,0,2019-01,LOLC,206,32.0,37.9,5.8,32.0,0.0,36.4,4.4
5,0,2019-01,SAMP,239,36.0,39.3,3.3,42.3,6.3,34.3,-1.7
5,1,2020-01,CFIN,184,34.8,40.2,5.4,38.0,3.3,38.6,3.8
5,1,2020-01,COMB,207,37.7,40.6,2.9,36.7,-1.0,41.5,3.9
5,1,2020-01,HNB,205,40.0,38.5,-1.5,40.5,0.5,40.0,0.0
5,1,2020-01,LFIN,196,34.2,36.2,2.0,33.2,-1.0,39.3,5.1
5,1,2020-01,LOFC,203,47.8,34.0,-13.8,40.4,-7.4,47.3,-0.5
5,1,2020-01,LOLC,207,44.9,40.1,-4.8,40.1,-4.8,44.4,-0.5
5,1,2020-01,SAMP,207,41.5,40.6,-1.0,38.6,-2.9,39.1,-2.4
5,2,2021-01,CFIN,237,40.5,40.5,0.0,33.3,-7.2,40.9,0.4
5,2,2021-01,COMB,238,34.9,39.1,4.2,31.5,-3.4,21.8,-13.0
5,2,2021-01,HNB,238,36.1,39.9,3.8,30.3,-5.9,35.7,-0.4
5,2,2021-01,LFIN,234,43.6,38.5,-5.1,36.3,-7.3,38.0,-5.6
5,2,2021-01,LOFC,238,41.2,41.6,0.4,43.7,2.5,31.5,-9.7
5,2,2021-01,LOLC,238,48.3,39.1,-9.2,42.4,-5.9,40.3,-8.0
5,2,2021-01,SAMP,235,39.6,29.4,-10.2,22.1,-17.4,28.1,-11.5
5,3,2022-01,CFIN,191,42.9,41.4,-1.6,52.4,9.4,48.2,5.2
5,3,2022-01,COMB,193,33.7,35.2,1.6,42.5,8.8,33.7,0.0
5,3,2022-01,HNB,193,39.9,42.5,2.6,44.6,4.7,46.6,6.7
5,3,2022-01,LFIN,192,43.8,44.8,1.0,56.2,12.5,50.5,6.8
5,3,2022-01,LOFC,190,64.7,53.7,-11.1,62.1,-2.6,48.9,-15.8
5,3,2022-01,LOLC,192,62.5,43.8,-18.8,49.5,-13.0,48.4,-14.1
5,3,2022-01,SAMP,231,45.5,36.4,-9.1,43.3,-2.2,38.1,-7.4
5,4,2023-01,CFIN,242,36.4,41.3,5.0,45.5,9.1,45.0,8.7
5,4,2023-01,COMB,242,39.3,44.6,5.4,45.5,6.2,43.0,3.7
5,4,2023-01,HNB,242,42.1,32.2,-9.9,32.6,-9.5,44.6,2.5
5,4,2023-01,LFIN,242,43.8,28.9,-14.9,35.1,-8.7,38.0,-5.8
5,4,2023-01,LOFC,242,62.0,55.4,-6.6,45.0,-16.9,52.1,-9.9
5,4,2023-01,LOLC,242,48.8,45.0,-3.7,38.4,-10.3,42.6,-6.2
5,4,2023-01,SAMP,242,42.1,33.1,-9.1,33.9,-8.3,34.7,-7.4
5,5,2024-01,CFIN,240,34.6,37.5,2.9,37.9,3.3,38.3,3.8
5,5,2024-01,COMB,240,43.8,43.3,-0.4,48.3,4.6,34.2,-9.6
5,5,2024-01,HNB,240,38.8,34.2,-4.6,37.5,-1.3,31.7,-7.1
5,5,2024-01,LFIN,240,41.7,31.2,-10.4,32.1,-9.6,39.2,-2.5
5,5,2024-01,LOFC,240,43.8,45.8,2.1,50.0,6.2,46.2,2.5
5,5,2024-01,LOLC,240,43.3,45.4,2.1,52.5,9.2,39.6,-3.8
5,5,2024-01,SAMP,240,39.2,28.3,-10.8,30.4,-8.8,37.5,-1.7
5,6,2025-01,CFIN,238,34.5,52.1,17.6,38.7,4.2,43.7,9.2
5,6,2025-01,COMB,238,34.5,34.0,-0.4,34.0,-0.4,32.4,-2.1
5,6,2025-01,HNB,238,37.4,39.9,2.5,43.3,5.9,32.4,-5.0
5,6,2025-01,LFIN,238,49.2,47.5,-1.7,40.8,-8.4,43.7,-5.5
5,6,2025-01,LOFC,238,42.4,43.3,0.8,40.3,-2.1,41.6,-0.8
5,6,2025-01,LOLC,238,35.3,42.4,7.1,35.7,0.4,38.2,2.9
5,6,2025-01,SAMP,238,33.2,33.6,0.4,36.1,2.9,30.3,-2.9
22,0,2019-01,CFIN,199,27.6,43.2,15.6,37.7,10.1,39.2,11.6
22,0,2019-01,COMB,238,37.8,32.4,-5.5,42.9,5.0,37.4,-0.4
22,0,2019-01,HNB,229,38.9,38.9,0.0,35.8,-3.1,43.7,4.8
22,0,2019-01,LFIN,191,50.3,42.4,-7.9,21.5,-28.8,40.8,-9.4
22,0,2019-01,LOFC,216,41.2,47.7,6.5,53.2,12.0,44.4,3.2
22,0,2019-01,LOLC,206,52.4,21.8,-30.6,20.9,-31.6,35.4,-17.0
22,0,2019-01,SAMP,239,34.7,35.6,0.8,41.8,7.1,36.0,1.3
22,1,2020-01,CFIN,184,38.0,22.8,-15.2,15.2,-22.8,21.2,-16.8
22,1,2020-01,COMB,207,42.5,38.2,-4.3,43.5,1.0,31.4,-11.1
22,1,2020-01,HNB,205,47.8,39.0,-8.8,39.5,-8.3,38.5,-9.3
22,1,2020-01,LFIN,196,42.9,30.6,-12.2,40.3,-2.6,24.5,-18.4
22,1,2020-01,LOFC,203,42.4,36.0,-6.4,35.5,-6.9,35.5,-6.9
22,1,2020-01,LOLC,207,51.2,13.5,-37.7,35.3,-15.9,34.3,-16.9
22,1,2020-01,SAMP,207,53.1,30.0,-23.2,38.6,-14.5,34.3,-18.8
22,2,2021-01,CFIN,237,28.7,40.5,11.8,39.7,11.0,41.8,13.1
22,2,2021-01,COMB,238,42.0,53.4,11.3,33.2,-8.8,33.2,-8.8
22,2,2021-01,HNB,238,28.6,41.6,13.0,29.0,0.4,27.7,-0.8
22,2,2021-01,LFIN,234,47.9,49.6,1.7,49.1,1.3,35.9,-12.0
22,2,2021-01,LOFC,238,37.0,42.4,5.5,42.9,5.9,25.6,-11.3
22,2,2021-01,LOLC,238,84.0,45.4,-38.7,47.5,-36.6,31.5,-52.5
22,2,2021-01,SAMP,235,40.0,44.3,4.3,40.0,0.0,30.2,-9.8
22,3,2022-01,CFIN,191,49.2,31.4,-17.8,37.2,-12.0,48.2,-1.0
22,3,2022-01,COMB,193,42.0,20.2,-21.8,30.6,-11.4,34.2,-7.8
22,3,2022-01,HNB,193,33.2,36.8,3.6,44.0,10.9,34.7,1.6
22,3,2022-01,LFIN,192,49.0,29.2,-19.8,36.5,-12.5,52.1,3.1
22,3,2022-01,LOFC,190,63.2,45.3,-17.9,45.3,-17.9,55.3,-7.9
22,3,2022-01,LOLC,192,38.0,47.4,9.4,55.7,17.7,50.0,12.0
22,3,2022-01,SAMP,231,36.4,37.7,1.3,41.1,4.8,48.9,12.6
22,4,2023-01,CFIN,242,49.2,38.4,-10.7,43.4,-5.8,36.8,-12.4
22,4,2023-01,COMB,242,39.3,40.9,1.7,24.0,-15.3,36.4,-2.9
22,4,2023-01,HNB,242,42.1,23.6,-18.6,21.9,-20.2,40.1,-2.1
22,4,2023-01,LFIN,242,48.3,29.3,-19.0,29.8,-18.6,38.4,-9.9
22,4,2023-01,LOFC,242,61.6,51.2,-10.3,41.7,-19.8,31.8,-29.8
22,4,2023-01,LOLC,242,47.5,41.3,-6.2,51.2,3.7,41.7,-5.8
22,4,2023-01,SAMP,242,51.7,40.1,-11.6,31.0,-20.7,38.4,-13.2
22,5,2024-01,CFIN,240,58.8,57.1,-1.7,50.4,-8.3,47.1,-11.7
22,5,2024-01,COMB,240,63.7,59.6,-4.2,57.5,-6.2,30.0,-33.8
22,5,2024-01,HNB,240,54.2,48.8,-5.4,53.3,-0.8,35.0,-19.2
22,5,2024-01,LFIN,240,56.7,38.3,-18.3,33.8,-22.9,31.7,-25.0
22,5,2024-01,LOFC,240,42.5,48.8,6.2,45.8,3.3,45.8,3.3
22,5,2024-01,LOLC,240,60.8,53.8,-7.1,49.2,-11.7,32.9,-27.9
22,5,2024-01,SAMP,240,57.1,36.7,-20.4,27.9,-29.2,37.1,-20.0
22,6,2025-01,CFIN,238,55.0,56.3,1.3,44.1,-10.9,42.9,-12.2
22,6,2025-01,COMB,238,41.6,44.5,2.9,42.4,0.8,31.9,-9.7
22,6,2025-01,HNB,238,51.3,45.4,-5.9,52.5,1.3,38.2,-13.0
22,6,2025-01,LFIN,238,60.5,48.7,-11.8,52.9,-7.6,46.6,-13.9
22,6,2025-01,LOFC,238,37.4,44.1,6.7,33.6,-3.8,38.2,0.8
22,6,2025-01,LOLC,238,37.0,25.2,-11.8,26.5,-10.5,37.8,0.8
22,6,2025-01,SAMP,238,50.4,45.4,-5.0,52.1,1.7,34.0,-16.4
